di 	gli 	gal 	gos3 	gos4 	lac 	 glb 
0.435672 	0.041476 	0.008134 	0.026662 	0.001055 	0.435338 	 0.000341 
0.433477 	0.039934 	0.007458 	0.026301 	0.001117 	0.433124 	 0.000343 
0.426750 	0.041149 	0.008458 	0.026007 	0.001145 	0.426406 	 0.000331 
0.425207 	0.043675 	0.007969 	0.029189 	0.001167 	0.424809 	 0.000412 
0.426444 	0.042015 	0.007128 	0.028064 	0.001182 	0.426038 	 0.000407 
0.426355 	0.042619 	0.007609 	0.027959 	0.001152 	0.425945 	 0.000418 
0.443740 	0.042525 	0.007850 	0.027533 	0.001091 	0.443327 	 0.000401 
0.425928 	0.044868 	0.009697 	0.027280 	0.001272 	0.425575 	 0.000324 
0.423036 	0.047027 	0.009962 	0.028436 	0.001549 	0.422690 	 0.000337 
0.420675 	0.045516 	0.009396 	0.028809 	0.001418 	0.420296 	 0.000367 
0.435511 	0.046406 	0.008101 	0.030938 	0.001306 	0.435089 	 0.000413 
0.430608 	0.044262 	0.009129 	0.027226 	0.001286 	0.430220 	 0.000395 
0.432695 	0.050268 	0.010947 	0.030817 	0.001541 	0.432297 	 0.000389 
0.420636 	0.045682 	0.009369 	0.029130 	0.001366 	0.420281 	 0.000336 
0.436814 	0.050616 	0.010128 	0.032389 	0.001480 	0.436425 	 0.000382 
0.430363 	0.042578 	0.008884 	0.026055 	0.001216 	0.430007 	 0.000367 
0.430635 	0.045667 	0.010101 	0.027980 	0.001278 	0.430272 	 0.000341 
0.425497 	0.048583 	0.009056 	0.031545 	0.001362 	0.425047 	 0.000453 
0.419747 	0.049775 	0.010037 	0.031584 	0.001553 	0.419363 	 0.000373 
0.412632 	0.049373 	0.009162 	0.033410 	0.001453 	0.412210 	 0.000421 
0.427923 	0.049130 	0.009104 	0.032341 	0.001429 	0.427487 	 0.000435 
0.418671 	0.054546 	0.010326 	0.035409 	0.001772 	0.418212 	 0.000452 
0.417281 	0.048360 	0.009713 	0.029959 	0.001453 	0.416848 	 0.000428 
0.430163 	0.046615 	0.009032 	0.029867 	0.001416 	0.429764 	 0.000391 
0.414514 	0.050184 	0.010437 	0.032020 	0.001469 	0.414102 	 0.000410 
0.423410 	0.047681 	0.009028 	0.031400 	0.001345 	0.422995 	 0.000409 
0.430410 	0.049083 	0.009657 	0.031453 	0.001400 	0.429989 	 0.000423 
0.411812 	0.054558 	0.010797 	0.034961 	0.001817 	0.411382 	 0.000444 
0.417128 	0.050608 	0.010661 	0.031210 	0.001588 	0.416715 	 0.000417 
0.425192 	0.051426 	0.010617 	0.032351 	0.001540 	0.424794 	 0.000407 
0.401664 	0.053889 	0.011749 	0.033743 	0.001812 	0.401255 	 0.000400 
0.411717 	0.057079 	0.011948 	0.036171 	0.001868 	0.411293 	 0.000430 
0.408768 	0.058608 	0.013226 	0.035760 	0.001986 	0.408341 	 0.000413 
0.416581 	0.056109 	0.010719 	0.036946 	0.001720 	0.416125 	 0.000459 
0.406847 	0.052977 	0.011102 	0.033223 	0.001658 	0.406417 	 0.000425 
0.413464 	0.055301 	0.010902 	0.035946 	0.001698 	0.413025 	 0.000442 
