k 	di 	gli 	gal 	gos3 	gos4 	lac 	 glb 
1 	0.027800 	0.013965 	0.004631 	0.008048 	0.000682 	0.027822 	 0.000058 
2 	0.023263 	0.012587 	0.004081 	0.007439 	0.000590 	0.023264 	 0.000034 
3 	0.021437 	0.010514 	0.003602 	0.006271 	0.000502 	0.021438 	 0.000032 
4 	0.018812 	0.008944 	0.003130 	0.005608 	0.000429 	0.018814 	 0.000030 
5 	0.017735 	0.008132 	0.002884 	0.005208 	0.000396 	0.017738 	 0.000029 
6 	0.015507 	0.008065 	0.002805 	0.005177 	0.000393 	0.015512 	 0.000028 
7 	0.014764 	0.007657 	0.002663 	0.004941 	0.000376 	0.014770 	 0.000026 
8 	0.014410 	0.007419 	0.002513 	0.004812 	0.000369 	0.014418 	 0.000026 
9 	0.013837 	0.007303 	0.002385 	0.004764 	0.000366 	0.013847 	 0.000025 
10 	0.013712 	0.007238 	0.002310 	0.004775 	0.000365 	0.013722 	 0.000025 
11 	0.013488 	0.007164 	0.002249 	0.004749 	0.000362 	0.013500 	 0.000025 
12 	0.013560 	0.007149 	0.002235 	0.004763 	0.000363 	0.013571 	 0.000024 
13 	0.013511 	0.007131 	0.002210 	0.004784 	0.000363 	0.013522 	 0.000024 
14 	0.013486 	0.007116 	0.002207 	0.004776 	0.000363 	0.013505 	 0.000024 
15 	0.013520 	0.007120 	0.002206 	0.004783 	0.000362 	0.013531 	 0.000024 
