di 	gli 	gal 	gos3 	gos4 	lac 	 glb 
0.483575 	0.001904 	-0.002379 	0.003165 	-0.000672 	0.483451 	 0.000079 
0.487649 	0.011849 	-0.002858 	0.013688 	-0.000140 	0.487467 	 0.000184 
0.478230 	0.006950 	-0.003397 	0.009154 	-0.000435 	0.478048 	 0.000150 
0.485125 	0.006842 	-0.002891 	0.008994 	-0.000366 	0.484966 	 0.000121 
0.489139 	0.008653 	-0.001337 	0.008714 	-0.000299 	0.488988 	 0.000105 
0.482269 	0.009209 	-0.001543 	0.008409 	-0.000393 	0.482109 	 0.000133 
0.491602 	0.010159 	-0.002885 	0.011568 	-0.000355 	0.491413 	 0.000185 
0.490630 	0.012758 	-0.001519 	0.012382 	-0.000233 	0.490399 	 0.000217 
0.484323 	0.011195 	-0.000902 	0.010024 	-0.000143 	0.484182 	 0.000124 
0.478689 	0.010447 	-0.000401 	0.009291 	-0.000324 	0.478535 	 0.000123 
0.480006 	0.018250 	0.000799 	0.014245 	-0.000045 	0.479828 	 0.000145 
0.483418 	0.008546 	-0.001342 	0.007933 	-0.000404 	0.483254 	 0.000125 
0.485201 	0.017619 	0.001250 	0.013272 	0.000098 	0.485044 	 0.000148 
0.487231 	0.011424 	-0.001322 	0.010815 	-0.000223 	0.487041 	 0.000136 
0.491391 	0.014960 	0.001383 	0.011604 	-0.000122 	0.491203 	 0.000133 
0.482626 	0.025569 	0.002687 	0.018911 	0.000443 	0.482407 	 0.000173 
0.467884 	0.013835 	-0.000175 	0.011955 	0.000029 	0.467717 	 0.000155 
0.460219 	0.009973 	-0.002106 	0.010351 	-0.000251 	0.460013 	 0.000181 
0.460930 	0.017311 	0.000028 	0.014531 	0.000015 	0.460673 	 0.000261 
0.458384 	0.017846 	-0.000763 	0.016212 	0.000171 	0.458148 	 0.000219 
0.455550 	0.018413 	0.000257 	0.014650 	0.000124 	0.455288 	 0.000250 
0.472483 	0.016393 	-0.000853 	0.014832 	-0.000066 	0.472266 	 0.000197 
0.453901 	0.016917 	-0.000325 	0.015046 	0.000107 	0.453654 	 0.000236 
0.443925 	0.021558 	0.000759 	0.017185 	0.000279 	0.443638 	 0.000311 
0.451922 	0.023570 	0.001117 	0.019195 	0.000387 	0.451670 	 0.000216 
0.458310 	0.018927 	0.000103 	0.015258 	0.000177 	0.458069 	 0.000210 
0.444942 	0.026465 	0.003115 	0.019536 	0.000563 	0.444703 	 0.000246 
0.440746 	0.025968 	0.002695 	0.020511 	0.000415 	0.440486 	 0.000262 
0.450231 	0.022157 	0.001383 	0.017606 	0.000385 	0.449977 	 0.000233 
0.444167 	0.023205 	0.001911 	0.017764 	0.000481 	0.443920 	 0.000244 
0.440618 	0.028086 	0.003652 	0.019955 	0.000580 	0.440373 	 0.000252 
0.442824 	0.026772 	0.002897 	0.020058 	0.000497 	0.442536 	 0.000278 
0.448547 	0.025992 	0.001449 	0.021322 	0.000489 	0.448254 	 0.000282 
0.445528 	0.031137 	0.004033 	0.022470 	0.000864 	0.445262 	 0.000297 
0.442570 	0.033934 	0.004902 	0.023605 	0.000963 	0.442272 	 0.000293 
0.452617 	0.027468 	0.002649 	0.020234 	0.000525 	0.452385 	 0.000226 
0.443173 	0.022792 	0.002563 	0.017591 	0.000320 	0.442958 	 0.000207 
0.450649 	0.026681 	0.002793 	0.019361 	0.000472 	0.450369 	 0.000276 
0.439716 	0.037872 	0.004148 	0.028743 	0.000988 	0.439381 	 0.000345 
0.444018 	0.032116 	0.004366 	0.022505 	0.000799 	0.443695 	 0.000328 
0.444893 	0.033077 	0.004906 	0.023431 	0.000860 	0.444611 	 0.000273 
0.441626 	0.033050 	0.003814 	0.024841 	0.000819 	0.441327 	 0.000290 
0.446591 	0.035387 	0.005675 	0.023994 	0.000925 	0.446272 	 0.000315 
0.450238 	0.033452 	0.003858 	0.025000 	0.000822 	0.449939 	 0.000313 
0.434220 	0.035074 	0.006060 	0.023822 	0.000934 	0.433957 	 0.000247 
0.433584 	0.039755 	0.007028 	0.026691 	0.001126 	0.433283 	 0.000300 
0.438296 	0.032900 	0.004170 	0.023885 	0.000739 	0.437969 	 0.000330 
0.436583 	0.034180 	0.005443 	0.022854 	0.000894 	0.436291 	 0.000296 
0.448734 	0.029374 	0.003988 	0.020342 	0.000481 	0.448452 	 0.000291 
0.433058 	0.037357 	0.006127 	0.025431 	0.000991 	0.432730 	 0.000334 
0.433616 	0.038907 	0.005578 	0.027523 	0.001050 	0.433273 	 0.000364 
0.447014 	0.036267 	0.006377 	0.024579 	0.000868 	0.446717 	 0.000284 
0.424910 	0.038860 	0.006437 	0.027162 	0.001034 	0.424612 	 0.000304 
0.433566 	0.043468 	0.006849 	0.029815 	0.001290 	0.433240 	 0.000310 
0.431025 	0.038475 	0.006475 	0.026057 	0.000935 	0.430655 	 0.000371 
0.437103 	0.041221 	0.006971 	0.028004 	0.001167 	0.436756 	 0.000342 
0.436641 	0.044124 	0.007438 	0.030670 	0.001215 	0.436309 	 0.000336 
0.439819 	0.041023 	0.006535 	0.028753 	0.001061 	0.439490 	 0.000341 
0.436276 	0.038634 	0.006223 	0.026559 	0.000869 	0.435899 	 0.000387 
0.440693 	0.043541 	0.007140 	0.029493 	0.001262 	0.440311 	 0.000371 
0.432953 	0.040606 	0.006939 	0.028118 	0.001082 	0.432570 	 0.000391 
0.438740 	0.040982 	0.006818 	0.027307 	0.001156 	0.438407 	 0.000323 
0.439466 	0.040086 	0.006578 	0.027346 	0.001160 	0.439135 	 0.000331 
0.443947 	0.038089 	0.005844 	0.025126 	0.001075 	0.443575 	 0.000362 
0.447593 	0.035843 	0.006880 	0.022843 	0.000995 	0.447268 	 0.000306 
0.440412 	0.042367 	0.008084 	0.027186 	0.001119 	0.440075 	 0.000322 
0.432662 	0.039001 	0.006061 	0.026434 	0.001019 	0.432289 	 0.000374 
0.441000 	0.039026 	0.007151 	0.025009 	0.001013 	0.440646 	 0.000325 
0.439479 	0.040539 	0.007904 	0.026208 	0.001069 	0.439114 	 0.000354 
0.430133 	0.038855 	0.006346 	0.026811 	0.001009 	0.429752 	 0.000392 
0.424157 	0.046366 	0.008672 	0.030274 	0.001393 	0.423768 	 0.000390 
0.423812 	0.044594 	0.008493 	0.028462 	0.001250 	0.423429 	 0.000371 
0.430651 	0.040927 	0.007262 	0.026872 	0.001100 	0.430281 	 0.000362 
0.438254 	0.041405 	0.007428 	0.027746 	0.001065 	0.437892 	 0.000356 
0.436814 	0.039170 	0.007001 	0.026279 	0.001058 	0.436459 	 0.000348 
0.420110 	0.044994 	0.009155 	0.028562 	0.001323 	0.419756 	 0.000336 
0.422748 	0.042942 	0.007768 	0.029168 	0.001093 	0.422371 	 0.000388 
0.426269 	0.040511 	0.006283 	0.027170 	0.001055 	0.425843 	 0.000413 
0.427647 	0.042945 	0.007805 	0.027904 	0.001197 	0.427246 	 0.000397 
0.436327 	0.045738 	0.008556 	0.030233 	0.001283 	0.435915 	 0.000425 
0.428324 	0.046828 	0.010147 	0.028156 	0.001363 	0.427963 	 0.000368 
0.421677 	0.044488 	0.009359 	0.026096 	0.001380 	0.421327 	 0.000355 
0.415696 	0.043904 	0.008495 	0.028237 	0.001292 	0.415327 	 0.000385 
0.429312 	0.044926 	0.008358 	0.028559 	0.001257 	0.428904 	 0.000419 
0.428652 	0.041650 	0.007960 	0.026006 	0.001075 	0.428246 	 0.000383 
0.425487 	0.050027 	0.010917 	0.030961 	0.001524 	0.425079 	 0.000399 
0.423083 	0.045424 	0.008885 	0.029674 	0.001364 	0.422739 	 0.000356 
0.428116 	0.052320 	0.010693 	0.033447 	0.001589 	0.427731 	 0.000383 
0.429897 	0.042439 	0.008728 	0.026647 	0.001239 	0.429503 	 0.000368 
0.429441 	0.044126 	0.009505 	0.026882 	0.001226 	0.429091 	 0.000345 
0.425997 	0.048905 	0.009286 	0.031697 	0.001375 	0.425546 	 0.000455 
0.418718 	0.051188 	0.010191 	0.032950 	0.001608 	0.418326 	 0.000395 
0.416496 	0.049319 	0.009240 	0.032485 	0.001456 	0.416096 	 0.000408 
0.424292 	0.047561 	0.008948 	0.030899 	0.001321 	0.423865 	 0.000438 
0.423361 	0.052902 	0.009825 	0.034497 	0.001697 	0.422904 	 0.000463 
0.417107 	0.049079 	0.010436 	0.029928 	0.001477 	0.416675 	 0.000431 
0.428695 	0.046311 	0.008370 	0.029993 	0.001395 	0.428268 	 0.000438 
0.420438 	0.050520 	0.009926 	0.031907 	0.001491 	0.420026 	 0.000420 
0.426471 	0.048276 	0.008925 	0.031702 	0.001371 	0.426035 	 0.000445 
0.424740 	0.051161 	0.010263 	0.033050 	0.001525 	0.424319 	 0.000422 
0.415044 	0.054440 	0.011095 	0.034517 	0.001770 	0.414621 	 0.000426 
0.423858 	0.052342 	0.010827 	0.032515 	0.001631 	0.423449 	 0.000388 
0.420897 	0.051899 	0.010440 	0.032209 	0.001566 	0.420472 	 0.000417 
0.412131 	0.050516 	0.011068 	0.030973 	0.001624 	0.411740 	 0.000389 
0.415589 	0.055018 	0.011577 	0.033947 	0.001766 	0.415186 	 0.000409 
0.403845 	0.056149 	0.012737 	0.034511 	0.001822 	0.403444 	 0.000409 
0.426013 	0.055727 	0.010768 	0.036284 	0.001717 	0.425582 	 0.000439 
0.406570 	0.053592 	0.011039 	0.033468 	0.001650 	0.406132 	 0.000458 
0.415005 	0.055643 	0.011069 	0.036963 	0.001789 	0.414561 	 0.000453 
0.410729 	0.056799 	0.011694 	0.035382 	0.001840 	0.410273 	 0.000465 
0.413501 	0.055402 	0.011357 	0.034826 	0.001734 	0.413082 	 0.000430 
0.395392 	0.058461 	0.012502 	0.035842 	0.001910 	0.394950 	 0.000430 
0.410572 	0.055817 	0.012667 	0.032626 	0.001755 	0.410105 	 0.000466 
0.418096 	0.054535 	0.011309 	0.034109 	0.001725 	0.417641 	 0.000484 
0.410950 	0.059959 	0.013806 	0.035732 	0.002052 	0.410510 	 0.000449 
0.414073 	0.058802 	0.012162 	0.038200 	0.001963 	0.413589 	 0.000490 
0.418968 	0.060264 	0.012869 	0.037176 	0.001976 	0.418490 	 0.000483 
0.418102 	0.057943 	0.011945 	0.037243 	0.001824 	0.417640 	 0.000452 
0.410933 	0.055194 	0.011307 	0.035192 	0.001833 	0.410446 	 0.000488 
0.415263 	0.058799 	0.012539 	0.036662 	0.001940 	0.414799 	 0.000477 
0.412975 	0.059730 	0.012885 	0.036989 	0.002010 	0.412520 	 0.000488 
0.406654 	0.053579 	0.011436 	0.032596 	0.001673 	0.406224 	 0.000433 
0.416238 	0.058725 	0.012270 	0.036680 	0.001953 	0.415752 	 0.000494 
0.403848 	0.050866 	0.011234 	0.030794 	0.001629 	0.403426 	 0.000410 
0.409878 	0.052862 	0.010539 	0.033892 	0.001632 	0.409430 	 0.000459 
0.406452 	0.055761 	0.011905 	0.034156 	0.001754 	0.405987 	 0.000476 
0.410946 	0.059583 	0.013015 	0.036127 	0.002035 	0.410498 	 0.000441 
0.405082 	0.056020 	0.011824 	0.034604 	0.001792 	0.404624 	 0.000455 
0.409938 	0.058927 	0.012942 	0.036103 	0.001851 	0.409461 	 0.000488 
0.412555 	0.054928 	0.011646 	0.033616 	0.001757 	0.412087 	 0.000483 
0.409945 	0.054084 	0.011745 	0.033001 	0.001607 	0.409502 	 0.000445 
0.401053 	0.060412 	0.013740 	0.036192 	0.001873 	0.400607 	 0.000465 
0.409061 	0.056318 	0.012666 	0.033744 	0.001734 	0.408609 	 0.000468 
0.413876 	0.056098 	0.012033 	0.034407 	0.001686 	0.413428 	 0.000458 
0.404902 	0.055519 	0.010909 	0.035380 	0.001782 	0.404414 	 0.000510 
0.407506 	0.058178 	0.011960 	0.036759 	0.001885 	0.407006 	 0.000515 
0.406614 	0.059889 	0.013808 	0.035528 	0.001978 	0.406170 	 0.000444 
0.409944 	0.056003 	0.011970 	0.034776 	0.001785 	0.409485 	 0.000443 
0.405906 	0.056854 	0.011813 	0.035302 	0.001805 	0.405434 	 0.000487 
0.418981 	0.053393 	0.011687 	0.032124 	0.001726 	0.418510 	 0.000482 
0.420552 	0.059282 	0.012079 	0.037321 	0.001929 	0.420053 	 0.000509 
0.417868 	0.053563 	0.011329 	0.031731 	0.001621 	0.417389 	 0.000452 
0.418009 	0.054142 	0.011173 	0.032907 	0.001683 	0.417557 	 0.000454 
0.416127 	0.057991 	0.012376 	0.036160 	0.001799 	0.415612 	 0.000516 
0.403291 	0.062964 	0.013746 	0.039757 	0.002122 	0.402780 	 0.000540 
0.417388 	0.059146 	0.012709 	0.036344 	0.002007 	0.416896 	 0.000473 
0.415168 	0.056394 	0.012830 	0.034117 	0.001778 	0.414722 	 0.000453 
0.413179 	0.058785 	0.013426 	0.035133 	0.001955 	0.412744 	 0.000426 
0.417848 	0.060570 	0.014156 	0.036438 	0.002028 	0.417424 	 0.000423 
0.415808 	0.061273 	0.012991 	0.037841 	0.002040 	0.415283 	 0.000541 
0.399341 	0.060820 	0.013745 	0.036705 	0.002069 	0.398873 	 0.000488 
0.389531 	0.057141 	0.013191 	0.033943 	0.001954 	0.389071 	 0.000452 
0.411367 	0.056924 	0.012086 	0.035323 	0.001841 	0.410921 	 0.000444 
0.391363 	0.059909 	0.013340 	0.035768 	0.002163 	0.390903 	 0.000460 
0.393105 	0.066542 	0.014778 	0.039886 	0.002375 	0.392576 	 0.000538 
0.388301 	0.061004 	0.014156 	0.035624 	0.002122 	0.387818 	 0.000500 
0.397079 	0.058208 	0.012770 	0.035495 	0.001931 	0.396633 	 0.000463 
0.390813 	0.062051 	0.013269 	0.037799 	0.002092 	0.390316 	 0.000495 
0.389865 	0.062335 	0.013973 	0.037242 	0.002144 	0.389396 	 0.000464 
0.391027 	0.061309 	0.013888 	0.036045 	0.002088 	0.390551 	 0.000483 
0.397436 	0.061010 	0.013520 	0.037229 	0.002097 	0.396981 	 0.000470 
0.397673 	0.061696 	0.014186 	0.036789 	0.002210 	0.397194 	 0.000483 
0.400386 	0.067156 	0.014800 	0.041272 	0.002432 	0.399894 	 0.000500 
0.385857 	0.064737 	0.015965 	0.036843 	0.002250 	0.385397 	 0.000454 
0.393163 	0.060739 	0.014459 	0.036197 	0.002105 	0.392712 	 0.000453 
0.389863 	0.061858 	0.013558 	0.037836 	0.002165 	0.389375 	 0.000488 
0.386906 	0.064459 	0.014289 	0.039106 	0.002283 	0.386409 	 0.000502 
0.391615 	0.064994 	0.014818 	0.038590 	0.002261 	0.391144 	 0.000484 
0.389109 	0.065906 	0.015008 	0.039438 	0.002287 	0.388603 	 0.000509 
0.406966 	0.056681 	0.012263 	0.034483 	0.001920 	0.406499 	 0.000465 
0.393733 	0.061076 	0.013292 	0.037685 	0.002080 	0.393273 	 0.000461 
0.393331 	0.061050 	0.013523 	0.036017 	0.002037 	0.392829 	 0.000513 
0.396256 	0.060962 	0.013828 	0.037161 	0.002178 	0.395812 	 0.000429 
0.391534 	0.065992 	0.014017 	0.040928 	0.002358 	0.391002 	 0.000542 
0.393606 	0.060814 	0.014208 	0.036180 	0.002096 	0.393156 	 0.000462 
0.399537 	0.060594 	0.014024 	0.036041 	0.002093 	0.399093 	 0.000443 
0.391947 	0.063209 	0.014801 	0.037482 	0.002146 	0.391472 	 0.000485 
0.394103 	0.067078 	0.014482 	0.041874 	0.002365 	0.393584 	 0.000524 
0.393765 	0.066299 	0.015306 	0.039247 	0.002364 	0.393297 	 0.000465 
0.395050 	0.063532 	0.014698 	0.037375 	0.002253 	0.394541 	 0.000531 
0.389858 	0.065995 	0.014639 	0.039919 	0.002302 	0.389344 	 0.000507 
0.393048 	0.064930 	0.015319 	0.038677 	0.002338 	0.392578 	 0.000479 
0.397459 	0.063003 	0.014284 	0.037797 	0.002215 	0.396943 	 0.000516 
