di 	gli 	gal 	gos3 	gos4 	lac 	 glb 
0.445279 	0.052291 	0.008424 	0.033884 	0.001648 	0.444959 	 0.000336 
0.446130 	0.051429 	0.008430 	0.033405 	0.001611 	0.445823 	 0.000320 
0.441057 	0.052469 	0.008597 	0.033879 	0.001665 	0.440742 	 0.000331 
0.442514 	0.053549 	0.008935 	0.034486 	0.001734 	0.442181 	 0.000350 
0.436680 	0.053152 	0.008952 	0.034103 	0.001702 	0.436356 	 0.000340 
0.438113 	0.054120 	0.009372 	0.034702 	0.001782 	0.437776 	 0.000353 
0.452679 	0.052901 	0.008602 	0.034390 	0.001674 	0.452365 	 0.000328 
0.459292 	0.054396 	0.008513 	0.035345 	0.001741 	0.458962 	 0.000349 
0.439625 	0.052978 	0.008798 	0.034106 	0.001698 	0.439315 	 0.000326 
0.440853 	0.053334 	0.009012 	0.034257 	0.001735 	0.440502 	 0.000370 
0.444766 	0.052465 	0.008712 	0.033958 	0.001660 	0.444465 	 0.000313 
0.426973 	0.053591 	0.009447 	0.034043 	0.001748 	0.426650 	 0.000338 
0.445813 	0.054594 	0.009189 	0.035162 	0.001783 	0.445482 	 0.000348 
0.445228 	0.052978 	0.008958 	0.034237 	0.001709 	0.444907 	 0.000333 
0.455026 	0.054611 	0.009085 	0.035342 	0.001762 	0.454697 	 0.000342 
0.439117 	0.054214 	0.009228 	0.034705 	0.001765 	0.438789 	 0.000345 
0.456857 	0.053267 	0.008597 	0.034651 	0.001686 	0.456535 	 0.000335 
0.450362 	0.056018 	0.009365 	0.035963 	0.001846 	0.450011 	 0.000369 
0.446188 	0.054971 	0.009601 	0.035286 	0.001812 	0.445846 	 0.000355 
0.450661 	0.054692 	0.008902 	0.035287 	0.001766 	0.450314 	 0.000365 
0.446567 	0.054459 	0.009411 	0.035031 	0.001780 	0.446229 	 0.000350 
0.454584 	0.056333 	0.009409 	0.036316 	0.001861 	0.454227 	 0.000374 
0.441276 	0.055402 	0.009565 	0.035369 	0.001838 	0.440931 	 0.000362 
0.451499 	0.053921 	0.009015 	0.034877 	0.001743 	0.451167 	 0.000345 
0.444295 	0.055025 	0.009239 	0.035277 	0.001804 	0.443946 	 0.000367 
0.460956 	0.055292 	0.009153 	0.035836 	0.001797 	0.460604 	 0.000365 
0.448813 	0.055697 	0.009628 	0.035778 	0.001829 	0.448485 	 0.000340 
0.439088 	0.056716 	0.010043 	0.036013 	0.001913 	0.438735 	 0.000370 
0.447447 	0.057848 	0.010157 	0.036777 	0.001964 	0.447073 	 0.000393 
