di 	gli 	gal 	gos3 	gos4 	lac 	 glb 
0.451215 	0.012106 	-0.000358 	0.010768 	-0.000246 	0.451023 	 0.000182 
0.499977 	0.008849 	-0.003547 	0.008827 	-0.000426 	0.499740 	 0.000217 
0.447903 	0.007410 	-0.001665 	0.008574 	-0.000460 	0.447704 	 0.000188 
0.475274 	0.015373 	-0.001010 	0.014584 	-0.000079 	0.475052 	 0.000208 
0.478231 	0.014421 	-0.000609 	0.012670 	-0.000168 	0.477983 	 0.000228 
0.476261 	0.010586 	-0.001814 	0.010959 	-0.000370 	0.476012 	 0.000225 
0.492992 	0.014869 	-0.001802 	0.011468 	-0.000223 	0.492776 	 0.000201 
0.479940 	0.010609 	-0.001667 	0.010807 	-0.000359 	0.479659 	 0.000257 
0.489441 	0.014978 	-0.001412 	0.010876 	-0.000158 	0.489228 	 0.000199 
0.479686 	0.013870 	-0.001144 	0.012742 	-0.000191 	0.479501 	 0.000172 
0.452709 	0.029487 	0.003383 	0.021039 	0.000487 	0.452485 	 0.000215 
0.463679 	0.021893 	0.001458 	0.016533 	0.000139 	0.463449 	 0.000218 
0.499282 	0.013673 	-0.001761 	0.011062 	-0.000229 	0.499026 	 0.000240 
0.476622 	0.019585 	0.000794 	0.015724 	0.000062 	0.476339 	 0.000273 
0.452436 	0.024359 	0.002786 	0.017479 	0.000274 	0.452155 	 0.000268 
0.481349 	0.017610 	0.000309 	0.014733 	-0.000035 	0.481054 	 0.000284 
0.438122 	0.015426 	0.000676 	0.012732 	-0.000031 	0.437928 	 0.000184 
0.430801 	0.012303 	0.000061 	0.010919 	-0.000163 	0.430587 	 0.000199 
0.440141 	0.017830 	0.000541 	0.012673 	0.000041 	0.439930 	 0.000197 
0.431908 	0.020739 	0.001872 	0.015698 	0.000206 	0.431689 	 0.000200 
0.440044 	0.020726 	0.001646 	0.016113 	0.000223 	0.439825 	 0.000201 
0.452600 	0.019163 	0.000496 	0.014256 	0.000129 	0.452380 	 0.000204 
0.421369 	0.017566 	0.001336 	0.014058 	0.000102 	0.421156 	 0.000199 
0.429108 	0.016835 	0.000726 	0.014142 	0.000089 	0.428857 	 0.000230 
0.421344 	0.028245 	0.003900 	0.020336 	0.000579 	0.421086 	 0.000249 
0.422090 	0.022731 	0.002603 	0.016900 	0.000319 	0.421838 	 0.000238 
0.435878 	0.021844 	0.002390 	0.016184 	0.000289 	0.435638 	 0.000224 
0.441872 	0.022172 	0.001970 	0.016997 	0.000298 	0.441647 	 0.000205 
0.414755 	0.024941 	0.003357 	0.018125 	0.000446 	0.414509 	 0.000233 
0.425759 	0.024845 	0.003067 	0.017741 	0.000432 	0.425531 	 0.000215 
0.439567 	0.023702 	0.002804 	0.017343 	0.000348 	0.439315 	 0.000238 
0.420411 	0.030724 	0.004578 	0.021213 	0.000703 	0.420179 	 0.000219 
0.421810 	0.028681 	0.003799 	0.020817 	0.000597 	0.421549 	 0.000251 
0.464017 	0.013296 	-0.000389 	0.012104 	-0.000073 	0.463741 	 0.000250 
0.431946 	0.032560 	0.004553 	0.022765 	0.000837 	0.431672 	 0.000260 
0.442495 	0.025032 	0.002537 	0.017658 	0.000388 	0.442249 	 0.000234 
0.421741 	0.027852 	0.004030 	0.019640 	0.000582 	0.421522 	 0.000211 
0.427325 	0.032102 	0.004613 	0.022406 	0.000765 	0.427079 	 0.000234 
0.435795 	0.029336 	0.003752 	0.021302 	0.000622 	0.435502 	 0.000278 
0.428959 	0.027913 	0.003763 	0.019966 	0.000593 	0.428669 	 0.000273 
0.433638 	0.028880 	0.003769 	0.020680 	0.000656 	0.433360 	 0.000261 
0.431639 	0.029337 	0.004130 	0.020823 	0.000645 	0.431358 	 0.000269 
