di 	gli 	gal 	gos3 	 gos4 
0.219971 	0.051858 	0.035999 	0.031933 	 0.000405 
0.234280 	0.051368 	0.034882 	0.034748 	 0.001131 
0.241758 	0.048553 	0.032443 	0.035175 	 0.000559 
0.217700 	0.057249 	0.038857 	0.038308 	 0.000577 
0.230649 	0.057246 	0.039461 	0.036676 	 0.001085 
0.253271 	0.056674 	0.037837 	0.041050 	 0.001400 
0.253424 	0.052483 	0.034452 	0.038746 	 0.000370 
0.184214 	0.062277 	0.043319 	0.036770 	 -0.000161 
0.218420 	0.053224 	0.036307 	0.036220 	 0.001065 
0.198746 	0.035778 	0.025585 	0.020074 	 -0.001333 
0.234867 	0.060004 	0.040413 	0.041178 	 0.001220 
0.208883 	0.057810 	0.040031 	0.037566 	 0.000382 
0.195743 	0.056999 	0.039631 	0.035921 	 0.000932 
0.228050 	0.064110 	0.043454 	0.044446 	 0.002332 
0.221315 	0.063545 	0.043154 	0.042202 	 0.001547 
0.207900 	0.059532 	0.040742 	0.038425 	 0.000941 
0.227809 	0.062154 	0.042078 	0.041555 	 0.001190 
0.217629 	0.056350 	0.038427 	0.037390 	 0.001168 
0.203809 	0.068172 	0.046834 	0.042783 	 0.001207 
0.227480 	0.071453 	0.048103 	0.048735 	 0.002446 
0.275682 	0.082209 	0.054695 	0.059710 	 0.003987 
0.233610 	0.070250 	0.047931 	0.047439 	 0.002826 
0.153763 	0.072033 	0.050565 	0.040328 	 0.001765 
0.243762 	0.079013 	0.052937 	0.054727 	 0.003413 
0.244853 	0.073290 	0.049141 	0.051127 	 0.003121 
0.243347 	0.078033 	0.052730 	0.052325 	 0.002646 
0.174586 	0.060467 	0.042467 	0.035582 	 0.001448 
0.246366 	0.075280 	0.050685 	0.052434 	 0.003673 
0.246263 	0.075604 	0.051039 	0.052412 	 0.003710 
0.201017 	0.061708 	0.042667 	0.038145 	 0.001087 
0.203125 	0.071042 	0.048471 	0.046706 	 0.002860 
0.209528 	0.071988 	0.049442 	0.046747 	 0.002504 
0.215385 	0.057133 	0.039420 	0.036646 	 0.001430 
0.204380 	0.062866 	0.043267 	0.039693 	 0.002367 
0.177217 	0.052066 	0.036982 	0.030079 	 0.000485 
0.233692 	0.062398 	0.041878 	0.043870 	 0.002258 
0.198319 	0.042024 	0.029601 	0.025419 	 0.000836 
0.235011 	0.065152 	0.044268 	0.043430 	 0.002560 
