di 	gli 	gal 	gos3 	 gos4 
0.419762 	0.027210 	0.016546 	0.018067 	 -0.001988 
0.416757 	0.038371 	0.023813 	0.029560 	 -0.000271 
0.441698 	0.027638 	0.015620 	0.035656 	 -0.001282 
0.417953 	0.051550 	0.031418 	0.052073 	 0.000905 
0.429856 	0.050772 	0.030962 	0.050959 	 0.000077 
0.421025 	0.058864 	0.036418 	0.056113 	 0.000545 
0.407604 	0.060972 	0.037475 	0.059336 	 0.001224 
0.428238 	0.048298 	0.029404 	0.048754 	 0.000012 
0.424021 	0.059813 	0.036952 	0.056269 	 0.000386 
0.418378 	0.057772 	0.035088 	0.056490 	 0.000018 
0.423134 	0.046464 	0.027996 	0.048617 	 0.000232 
0.410037 	0.056354 	0.034311 	0.056497 	 0.001209 
0.412655 	0.056682 	0.034298 	0.056096 	 0.000601 
0.414027 	0.048830 	0.029203 	0.053930 	 0.000664 
0.397675 	0.078336 	0.048793 	0.069474 	 0.001688 
0.415521 	0.060521 	0.036665 	0.063455 	 0.001349 
0.407716 	0.061398 	0.037826 	0.058339 	 0.001380 
0.413385 	0.068265 	0.042102 	0.064037 	 0.000966 
0.402254 	0.063120 	0.038861 	0.059904 	 0.001148 
0.403386 	0.061120 	0.037834 	0.058860 	 0.002058 
0.394598 	0.077248 	0.048003 	0.070827 	 0.002784 
0.402231 	0.069943 	0.043888 	0.061171 	 0.001566 
0.409610 	0.060033 	0.036881 	0.057008 	 0.000555 
0.386891 	0.076812 	0.047762 	0.071615 	 0.003327 
0.406608 	0.064631 	0.039589 	0.064828 	 0.001452 
0.394595 	0.077144 	0.047872 	0.070155 	 0.002236 
0.395903 	0.069989 	0.043533 	0.064917 	 0.002486 
0.391893 	0.069443 	0.042927 	0.066064 	 0.002248 
0.399684 	0.061449 	0.037888 	0.059378 	 0.002240 
0.388101 	0.082082 	0.051306 	0.073409 	 0.003248 
0.388633 	0.076131 	0.047383 	0.070542 	 0.002903 
0.385551 	0.079235 	0.049075 	0.075728 	 0.003545 
0.388903 	0.077056 	0.047821 	0.072464 	 0.002865 
0.390317 	0.073459 	0.045604 	0.068877 	 0.002846 
0.393995 	0.071530 	0.044232 	0.066484 	 0.002278 
0.392203 	0.067973 	0.042091 	0.063930 	 0.002474 
0.384953 	0.074609 	0.045940 	0.072115 	 0.003125 
0.384748 	0.076205 	0.047211 	0.072489 	 0.003206 
0.382729 	0.078603 	0.048756 	0.074954 	 0.003425 
0.373002 	0.087185 	0.054238 	0.078893 	 0.004267 
0.380456 	0.075765 	0.046797 	0.068596 	 0.002759 
0.364999 	0.084192 	0.052470 	0.074658 	 0.003993 
0.368341 	0.098872 	0.061759 	0.088198 	 0.004541 
0.383608 	0.077302 	0.048031 	0.072089 	 0.003291 
0.383102 	0.076631 	0.047926 	0.071931 	 0.003968 
0.377817 	0.082108 	0.051189 	0.076767 	 0.003672 
0.359795 	0.100071 	0.062900 	0.087138 	 0.005238 
0.369176 	0.087140 	0.054489 	0.077237 	 0.003773 
0.371516 	0.085360 	0.053532 	0.075809 	 0.003602 
0.361369 	0.100733 	0.063439 	0.085811 	 0.004607 
0.373254 	0.084046 	0.052168 	0.075744 	 0.003101 
0.361927 	0.084729 	0.052943 	0.075609 	 0.003858 
0.359482 	0.091255 	0.057345 	0.080464 	 0.004323 
0.374509 	0.086796 	0.055237 	0.072812 	 0.003927 
0.361605 	0.089273 	0.056045 	0.077875 	 0.004268 
0.347757 	0.101422 	0.063959 	0.087100 	 0.005362 
0.355897 	0.098963 	0.062493 	0.084962 	 0.005079 
0.354582 	0.097143 	0.061239 	0.083583 	 0.004788 
0.344062 	0.106548 	0.067056 	0.090971 	 0.004972 
0.364737 	0.088362 	0.055661 	0.080049 	 0.005059 
0.357408 	0.093922 	0.059744 	0.081719 	 0.004738 
