di 	gli 	gal 	gos3 	 gos4 
0.200023 	0.023751 	0.018281 	0.002917 	 -0.001682 
0.234078 	0.026541 	0.018670 	0.010795 	 -0.000133 
0.245210 	0.034765 	0.025220 	0.022622 	 -0.000151 
0.243749 	0.043720 	0.030367 	0.031297 	 0.000724 
0.232471 	0.043798 	0.032718 	0.023388 	 0.000423 
0.215326 	0.048300 	0.035493 	0.028522 	 0.001027 
0.285461 	0.038025 	0.025762 	0.031949 	 0.000655 
0.235026 	0.050600 	0.034780 	0.033394 	 0.000735 
0.228445 	0.060398 	0.040892 	0.042141 	 0.002206 
0.217362 	0.034505 	0.026606 	0.019336 	 0.000035 
0.276082 	0.047603 	0.033137 	0.032860 	 0.001975 
0.198370 	0.055780 	0.040627 	0.033037 	 0.001556 
0.218950 	0.054385 	0.039165 	0.034310 	 0.001820 
0.231664 	0.050337 	0.037085 	0.033778 	 0.002415 
0.245073 	0.043649 	0.031101 	0.030974 	 0.001717 
0.224714 	0.053211 	0.038400 	0.032379 	 0.001450 
0.213914 	0.050745 	0.036744 	0.032642 	 0.001157 
0.214084 	0.054565 	0.039112 	0.036330 	 0.001614 
0.223159 	0.054254 	0.039126 	0.034714 	 0.002172 
0.222359 	0.053527 	0.038020 	0.033667 	 0.001880 
0.216617 	0.077687 	0.053678 	0.050140 	 0.003254 
0.198724 	0.049685 	0.037938 	0.024358 	 0.001184 
0.196161 	0.065408 	0.046269 	0.039702 	 0.002421 
0.234795 	0.052847 	0.038981 	0.033576 	 0.002029 
0.209454 	0.066524 	0.045757 	0.043400 	 0.002569 
0.216347 	0.060824 	0.042647 	0.037679 	 0.002684 
0.210221 	0.063793 	0.044621 	0.042973 	 0.002946 
0.178753 	0.067702 	0.048753 	0.039330 	 0.002841 
0.219874 	0.074945 	0.051538 	0.048165 	 0.003459 
0.171604 	0.056409 	0.041435 	0.031972 	 0.001173 
0.191397 	0.065465 	0.046271 	0.040789 	 0.002802 
0.201107 	0.059864 	0.043658 	0.035321 	 0.003008 
0.209196 	0.056461 	0.041079 	0.033494 	 0.002360 
0.231929 	0.049211 	0.035525 	0.029569 	 0.001747 
0.216989 	0.056781 	0.039855 	0.035396 	 0.002566 
0.218474 	0.062937 	0.044850 	0.040836 	 0.002317 
0.208281 	0.047918 	0.035547 	0.028047 	 0.001828 
0.209563 	0.072918 	0.050472 	0.045167 	 0.003190 
0.210259 	0.062482 	0.043901 	0.038056 	 0.002475 
0.205603 	0.068169 	0.047685 	0.042844 	 0.002937 
0.190048 	0.080243 	0.055480 	0.050910 	 0.003666 
0.214741 	0.054341 	0.039939 	0.031899 	 0.001679 
0.186812 	0.063926 	0.045258 	0.039082 	 0.002480 
0.229538 	0.053820 	0.039249 	0.032719 	 0.002163 
0.213344 	0.054882 	0.040242 	0.031900 	 0.001968 
0.187484 	0.065028 	0.046274 	0.039227 	 0.002532 
0.198744 	0.073442 	0.051415 	0.044543 	 0.003196 
0.180974 	0.083576 	0.057289 	0.053290 	 0.004340 
0.195372 	0.051605 	0.038800 	0.026508 	 0.001540 
0.153646 	0.068829 	0.050793 	0.034861 	 0.001442 
0.173542 	0.083075 	0.058035 	0.051014 	 0.003693 
0.194719 	0.078387 	0.054250 	0.048474 	 0.003166 
0.198750 	0.076244 	0.052822 	0.044387 	 0.002847 
0.201886 	0.060302 	0.043279 	0.036722 	 0.002103 
0.183229 	0.074851 	0.052778 	0.045576 	 0.003164 
0.200460 	0.057463 	0.041399 	0.032733 	 0.001831 
0.183994 	0.070543 	0.049598 	0.043177 	 0.002490 
0.190293 	0.056239 	0.040961 	0.031661 	 0.002004 
0.177897 	0.059471 	0.042828 	0.031230 	 0.000871 
0.179354 	0.090861 	0.061472 	0.055977 	 0.004198 
0.192741 	0.071904 	0.049607 	0.044929 	 0.002528 
0.195034 	0.061573 	0.044010 	0.037416 	 0.002425 
0.165689 	0.064557 	0.046843 	0.033198 	 0.002020 
0.163362 	0.070899 	0.050278 	0.041435 	 0.002767 
0.154460 	0.066187 	0.049082 	0.032620 	 0.002094 
0.179368 	0.062160 	0.044348 	0.036208 	 0.002930 
0.167164 	0.073616 	0.052529 	0.042630 	 0.003061 
0.186285 	0.065552 	0.046937 	0.038260 	 0.002793 
0.187721 	0.053471 	0.039850 	0.030663 	 0.001638 
0.181294 	0.060112 	0.044539 	0.031681 	 0.002277 
0.162918 	0.080686 	0.056349 	0.046431 	 0.003176 
0.191537 	0.066969 	0.048537 	0.037696 	 0.002477 
0.152779 	0.070811 	0.050984 	0.039905 	 0.002724 
0.180133 	0.082008 	0.056909 	0.049318 	 0.003271 
0.165331 	0.075135 	0.053100 	0.041102 	 0.002835 
0.162240 	0.079113 	0.055845 	0.046529 	 0.002847 
0.188517 	0.062104 	0.045281 	0.035656 	 0.002479 
0.187788 	0.067597 	0.048502 	0.037023 	 0.002513 
0.167529 	0.065320 	0.047867 	0.033910 	 0.001903 
0.172902 	0.066574 	0.048364 	0.037842 	 0.002815 
0.169130 	0.073257 	0.052386 	0.039200 	 0.002728 
0.155062 	0.074817 	0.053461 	0.040821 	 0.003160 
0.155843 	0.085250 	0.060672 	0.046700 	 0.003888 
0.187824 	0.062779 	0.045264 	0.032985 	 0.002222 
0.159085 	0.067085 	0.050027 	0.033019 	 0.002042 
0.156475 	0.059183 	0.044552 	0.028231 	 0.001522 
0.177871 	0.090384 	0.063192 	0.053451 	 0.003991 
0.178650 	0.085043 	0.060093 	0.049868 	 0.003912 
0.195276 	0.071065 	0.050026 	0.041827 	 0.002823 
0.159159 	0.081679 	0.058567 	0.045080 	 0.002421 
0.160467 	0.072945 	0.052636 	0.039512 	 0.002458 
0.155880 	0.079929 	0.056861 	0.044748 	 0.002633 
0.153129 	0.082150 	0.059326 	0.045701 	 0.003756 
0.188105 	0.078725 	0.056186 	0.043176 	 0.003675 
0.158170 	0.092193 	0.065684 	0.052438 	 0.004078 
0.162685 	0.091921 	0.064863 	0.052248 	 0.003760 
0.146300 	0.087647 	0.061732 	0.046713 	 0.003838 
0.174307 	0.066895 	0.049230 	0.033188 	 0.002283 
0.162342 	0.068926 	0.050068 	0.035196 	 0.002649 
0.163451 	0.082323 	0.058393 	0.044103 	 0.003182 
0.177712 	0.060411 	0.045117 	0.030573 	 0.001822 
0.176932 	0.085055 	0.059132 	0.049005 	 0.004070 
0.139643 	0.095680 	0.066392 	0.055159 	 0.004100 
0.173242 	0.070994 	0.051924 	0.037032 	 0.002643 
0.151967 	0.074169 	0.053565 	0.040299 	 0.002686 
0.153966 	0.097678 	0.068201 	0.054444 	 0.004554 
0.170094 	0.085883 	0.061567 	0.045586 	 0.003592 
0.155025 	0.084676 	0.060474 	0.045932 	 0.003749 
0.136693 	0.079845 	0.056976 	0.041848 	 0.002506 
0.158755 	0.078677 	0.056254 	0.043222 	 0.003650 
0.162088 	0.090359 	0.062905 	0.051001 	 0.003665 
0.157739 	0.085186 	0.059990 	0.047700 	 0.003625 
0.136613 	0.073987 	0.054422 	0.035973 	 0.002641 
0.144276 	0.084524 	0.060160 	0.046247 	 0.002812 
0.144378 	0.084061 	0.060045 	0.044315 	 0.003053 
0.145080 	0.086020 	0.061484 	0.045541 	 0.003495 
0.134773 	0.098524 	0.068975 	0.054352 	 0.003767 
0.161465 	0.089730 	0.064195 	0.049498 	 0.004071 
0.172795 	0.074179 	0.053640 	0.040595 	 0.002944 
0.119310 	0.088060 	0.063802 	0.047000 	 0.002591 
0.140086 	0.092836 	0.067060 	0.049555 	 0.003825 
0.144476 	0.077971 	0.056526 	0.038494 	 0.003566 
0.148633 	0.071904 	0.053292 	0.032642 	 0.002618 
0.130671 	0.079794 	0.059601 	0.033191 	 0.002580 
0.175867 	0.082822 	0.058829 	0.046843 	 0.003661 
0.143595 	0.088881 	0.064598 	0.045769 	 0.003356 
0.143178 	0.082206 	0.060074 	0.040279 	 0.002473 
0.144856 	0.079541 	0.058864 	0.039893 	 0.002906 
0.141413 	0.074576 	0.056112 	0.032321 	 0.002607 
0.130172 	0.088661 	0.064525 	0.042721 	 0.003078 
0.137807 	0.081518 	0.059874 	0.037870 	 0.002539 
0.136892 	0.073345 	0.054258 	0.034299 	 0.001877 
0.143290 	0.080148 	0.058959 	0.039095 	 0.002901 
0.123581 	0.073496 	0.056154 	0.031136 	 0.001993 
0.160720 	0.087233 	0.062460 	0.045873 	 0.003727 
