di 	gli 	gal 	gos3 	 gos4 
0.424409 	0.021471 	0.012803 	0.014457 	 -0.001998 
0.417199 	0.035402 	0.021626 	0.028313 	 -0.000400 
0.442590 	0.030916 	0.017813 	0.036798 	 -0.001223 
0.417468 	0.053508 	0.032614 	0.052909 	 0.000794 
0.429227 	0.051584 	0.031431 	0.051702 	 0.000069 
0.420011 	0.060580 	0.037537 	0.057569 	 0.000844 
0.412843 	0.059249 	0.036515 	0.057835 	 0.001231 
0.429298 	0.049114 	0.030026 	0.049061 	 -0.000070 
0.423323 	0.059122 	0.036439 	0.055884 	 0.000297 
0.419139 	0.058564 	0.035656 	0.056836 	 0.000264 
0.423861 	0.047214 	0.028403 	0.049783 	 0.000217 
0.408300 	0.059637 	0.036323 	0.059069 	 0.001376 
0.410338 	0.057082 	0.034530 	0.056009 	 0.000498 
0.417040 	0.049087 	0.029521 	0.052805 	 0.000495 
0.400136 	0.075989 	0.047295 	0.068059 	 0.001636 
0.416090 	0.060605 	0.036843 	0.062366 	 0.001305 
0.407119 	0.060611 	0.037333 	0.057800 	 0.001591 
0.413189 	0.067049 	0.041211 	0.063812 	 0.000999 
0.400934 	0.063848 	0.039218 	0.060998 	 0.001317 
0.407228 	0.059304 	0.036680 	0.056877 	 0.001769 
0.395952 	0.076714 	0.047643 	0.069715 	 0.002761 
0.400062 	0.073262 	0.045923 	0.063955 	 0.001887 
0.410388 	0.057504 	0.035104 	0.055876 	 0.000518 
0.388462 	0.076646 	0.047544 	0.071732 	 0.003284 
0.409387 	0.061588 	0.037502 	0.061153 	 0.000910 
0.393619 	0.077335 	0.048033 	0.070250 	 0.002338 
0.396657 	0.071587 	0.044609 	0.065587 	 0.002512 
0.394181 	0.067579 	0.041594 	0.064732 	 0.002114 
0.402256 	0.059884 	0.037040 	0.057822 	 0.001993 
0.389191 	0.079580 	0.049768 	0.071566 	 0.003148 
0.386996 	0.076438 	0.047660 	0.071021 	 0.002917 
0.386600 	0.077899 	0.048163 	0.074089 	 0.003321 
0.389837 	0.076024 	0.047179 	0.070797 	 0.002866 
0.390660 	0.075826 	0.047086 	0.070559 	 0.002941 
0.392244 	0.073399 	0.045440 	0.067913 	 0.002459 
0.394961 	0.066987 	0.041556 	0.062519 	 0.002327 
0.387740 	0.074750 	0.046132 	0.070942 	 0.002859 
0.384398 	0.075769 	0.047021 	0.072249 	 0.003170 
0.381982 	0.078207 	0.048471 	0.074163 	 0.003420 
0.375059 	0.084072 	0.052394 	0.076721 	 0.004008 
0.379477 	0.076625 	0.047497 	0.069033 	 0.002954 
0.367774 	0.083670 	0.052110 	0.074437 	 0.003778 
0.367695 	0.097584 	0.060823 	0.087764 	 0.004463 
0.383519 	0.078218 	0.048668 	0.072408 	 0.003389 
0.383656 	0.077666 	0.048490 	0.072937 	 0.003915 
0.377305 	0.081123 	0.050530 	0.075854 	 0.003618 
0.360690 	0.099805 	0.062740 	0.086953 	 0.005191 
0.369978 	0.086808 	0.054201 	0.076730 	 0.003621 
0.370194 	0.084686 	0.052934 	0.075661 	 0.003585 
0.364488 	0.098709 	0.061996 	0.084054 	 0.004236 
0.375255 	0.082959 	0.051490 	0.074843 	 0.002927 
0.362871 	0.084480 	0.052997 	0.075039 	 0.003929 
0.360488 	0.091941 	0.057849 	0.080463 	 0.004327 
0.372067 	0.089105 	0.056503 	0.075118 	 0.003960 
0.358525 	0.092192 	0.057809 	0.079831 	 0.004375 
0.349582 	0.098522 	0.062050 	0.084219 	 0.004968 
0.355328 	0.097865 	0.061913 	0.083785 	 0.004880 
0.354039 	0.097016 	0.061078 	0.083463 	 0.004736 
0.341787 	0.105957 	0.066591 	0.090896 	 0.005030 
0.361595 	0.092291 	0.058102 	0.082639 	 0.005151 
0.358501 	0.092001 	0.058198 	0.080218 	 0.004498 
0.343562 	0.110193 	0.069618 	0.093526 	 0.005803 
0.354443 	0.091411 	0.057399 	0.081346 	 0.004309 
0.356858 	0.092466 	0.057949 	0.082496 	 0.004719 
0.348639 	0.099051 	0.062407 	0.086217 	 0.005526 
0.329879 	0.116590 	0.073951 	0.097762 	 0.006945 
0.350236 	0.086540 	0.054193 	0.077441 	 0.004535 
0.341817 	0.103045 	0.064846 	0.090079 	 0.005339 
0.339332 	0.108070 	0.068401 	0.092061 	 0.006249 
0.337451 	0.109405 	0.069483 	0.092529 	 0.006516 
0.355906 	0.097677 	0.061581 	0.086002 	 0.004771 
0.345338 	0.096109 	0.060467 	0.082927 	 0.005167 
0.342834 	0.106127 	0.067049 	0.092145 	 0.005713 
0.336171 	0.114387 	0.072637 	0.096493 	 0.006298 
0.338144 	0.109874 	0.069576 	0.093882 	 0.006173 
0.347981 	0.099641 	0.062941 	0.085174 	 0.005452 
0.338936 	0.108660 	0.068787 	0.091157 	 0.005581 
0.346700 	0.103386 	0.065325 	0.088661 	 0.005300 
0.344456 	0.100507 	0.063781 	0.084884 	 0.005499 
0.328072 	0.112606 	0.071265 	0.093779 	 0.006411 
0.348792 	0.092978 	0.058629 	0.079443 	 0.004243 
0.326446 	0.108200 	0.068637 	0.090193 	 0.006281 
0.335241 	0.102340 	0.064944 	0.086931 	 0.005992 
0.336589 	0.102769 	0.065787 	0.084269 	 0.006044 
0.346323 	0.091908 	0.057972 	0.079933 	 0.004642 
0.344401 	0.098868 	0.062743 	0.084662 	 0.005897 
0.327141 	0.112417 	0.071650 	0.091698 	 0.006351 
0.329280 	0.102352 	0.065158 	0.085502 	 0.006089 
