di 	gli 	gal 	gos3 	 gos4 
0.420035 	0.026272 	0.015877 	0.017572 	 -0.002025 
0.416800 	0.039336 	0.024413 	0.030231 	 -0.000227 
0.441306 	0.027621 	0.015656 	0.035904 	 -0.001231 
0.417685 	0.051609 	0.031339 	0.051875 	 0.000932 
0.429756 	0.050750 	0.030930 	0.050944 	 0.000094 
0.421443 	0.057972 	0.035861 	0.055156 	 0.000428 
0.406405 	0.061001 	0.037436 	0.059369 	 0.001220 
0.427826 	0.048439 	0.029546 	0.049128 	 0.000013 
0.425178 	0.059873 	0.037050 	0.056293 	 0.000355 
0.418027 	0.057707 	0.035108 	0.056411 	 -0.000008 
0.423936 	0.045974 	0.027657 	0.048340 	 0.000155 
0.409685 	0.056353 	0.034379 	0.056325 	 0.001263 
0.412744 	0.057248 	0.034660 	0.056675 	 0.000693 
0.413728 	0.048286 	0.028929 	0.053571 	 0.000622 
0.398243 	0.077112 	0.048013 	0.068666 	 0.001609 
0.413701 	0.061553 	0.037371 	0.064777 	 0.001557 
0.406944 	0.061309 	0.037790 	0.058221 	 0.001409 
0.412556 	0.068404 	0.042167 	0.064155 	 0.001048 
0.401490 	0.064050 	0.039448 	0.060388 	 0.001156 
0.402284 	0.061415 	0.037944 	0.059257 	 0.002052 
0.394499 	0.077879 	0.048354 	0.071320 	 0.002813 
0.402263 	0.069586 	0.043623 	0.060945 	 0.001501 
0.409046 	0.060368 	0.037058 	0.057056 	 0.000574 
0.386605 	0.077050 	0.047824 	0.071643 	 0.003367 
0.406143 	0.065810 	0.040167 	0.065667 	 0.001503 
0.394397 	0.076405 	0.047411 	0.069667 	 0.002224 
0.396617 	0.069653 	0.043286 	0.064465 	 0.002396 
0.392469 	0.069111 	0.042625 	0.065484 	 0.002181 
0.399081 	0.061236 	0.037780 	0.059121 	 0.002220 
0.386580 	0.082515 	0.051541 	0.073892 	 0.003300 
0.389268 	0.075986 	0.047326 	0.070274 	 0.002826 
0.385849 	0.079518 	0.049222 	0.075605 	 0.003556 
0.388600 	0.077287 	0.047898 	0.072685 	 0.002872 
0.391127 	0.073354 	0.045528 	0.068709 	 0.002819 
0.394481 	0.071985 	0.044581 	0.066813 	 0.002253 
0.391922 	0.067010 	0.041519 	0.063196 	 0.002464 
0.385301 	0.074739 	0.045988 	0.072505 	 0.003045 
0.385069 	0.075211 	0.046648 	0.071769 	 0.003184 
0.382491 	0.078839 	0.048794 	0.075127 	 0.003409 
0.373832 	0.086432 	0.053867 	0.077990 	 0.004073 
0.380801 	0.074868 	0.046198 	0.067886 	 0.002745 
0.365451 	0.084254 	0.052578 	0.074583 	 0.004036 
0.368369 	0.098947 	0.061764 	0.088173 	 0.004513 
0.382654 	0.077563 	0.048066 	0.072603 	 0.003400 
0.383428 	0.076903 	0.048047 	0.071943 	 0.003897 
0.378050 	0.082486 	0.051392 	0.076883 	 0.003691 
0.360465 	0.099173 	0.062440 	0.086318 	 0.005177 
0.370225 	0.086457 	0.054020 	0.076585 	 0.003664 
0.370587 	0.086021 	0.053949 	0.076486 	 0.003627 
0.362210 	0.101197 	0.063671 	0.085998 	 0.004583 
0.373662 	0.083545 	0.051775 	0.075429 	 0.003000 
0.361899 	0.084069 	0.052534 	0.075248 	 0.003850 
0.359264 	0.090267 	0.056716 	0.079967 	 0.004323 
0.372640 	0.088516 	0.056371 	0.074194 	 0.004084 
0.362184 	0.088820 	0.055705 	0.077584 	 0.004290 
0.348340 	0.101533 	0.064058 	0.087424 	 0.005442 
0.356130 	0.098303 	0.062092 	0.084182 	 0.005007 
0.354123 	0.097687 	0.061593 	0.083910 	 0.004828 
0.344558 	0.106146 	0.066806 	0.090546 	 0.004896 
0.364708 	0.088103 	0.055427 	0.079883 	 0.005012 
0.357888 	0.095053 	0.060280 	0.082385 	 0.004644 
0.344196 	0.109289 	0.068929 	0.093227 	 0.005720 
0.353574 	0.092971 	0.058353 	0.082565 	 0.004450 
0.357282 	0.090688 	0.056769 	0.081375 	 0.004496 
0.347714 	0.099060 	0.062408 	0.086300 	 0.005599 
