di 	gli 	gal 	gos3 	 gos4 
0.215889 	0.053705 	0.037969 	0.028288 	 0.000930 
0.205571 	0.057942 	0.039619 	0.032444 	 0.001261 
0.228451 	0.046649 	0.033244 	0.034499 	 0.000720 
0.214069 	0.061285 	0.041962 	0.037815 	 0.001138 
0.245477 	0.057623 	0.040896 	0.034900 	 0.001784 
0.215808 	0.057074 	0.040014 	0.038385 	 0.001589 
0.269262 	0.060401 	0.039693 	0.041801 	 0.001642 
0.205155 	0.055384 	0.038978 	0.033703 	 0.000001 
0.223502 	0.062178 	0.041879 	0.046229 	 0.002157 
0.222003 	0.051382 	0.036214 	0.031815 	 0.000716 
0.266424 	0.066441 	0.044895 	0.044939 	 0.002911 
0.227107 	0.061956 	0.043519 	0.037462 	 0.001808 
0.211825 	0.071902 	0.049580 	0.048128 	 0.002585 
0.215836 	0.071027 	0.048750 	0.049367 	 0.003004 
0.238109 	0.065060 	0.045502 	0.041243 	 0.002891 
0.215176 	0.073756 	0.049796 	0.048000 	 0.002561 
0.191640 	0.067581 	0.047930 	0.040600 	 0.001417 
0.217004 	0.059496 	0.042018 	0.040389 	 0.001957 
0.214885 	0.081682 	0.055308 	0.054604 	 0.003144 
0.228032 	0.068875 	0.047302 	0.044421 	 0.002976 
0.251208 	0.084672 	0.057124 	0.057420 	 0.004102 
0.249458 	0.070657 	0.049080 	0.047736 	 0.003509 
0.175211 	0.071994 	0.051153 	0.041142 	 0.002529 
0.229339 	0.077029 	0.052747 	0.050031 	 0.003284 
0.217463 	0.072766 	0.049418 	0.048653 	 0.003055 
0.256067 	0.067749 	0.048503 	0.045649 	 0.003228 
0.161899 	0.076328 	0.053614 	0.043734 	 0.002984 
0.201992 	0.072842 	0.051510 	0.043187 	 0.003582 
0.235205 	0.080210 	0.055475 	0.052447 	 0.004352 
0.182641 	0.065986 	0.047958 	0.036771 	 0.002222 
0.170798 	0.084322 	0.057790 	0.051304 	 0.003481 
0.204511 	0.073648 	0.051564 	0.044211 	 0.003143 
0.195327 	0.064278 	0.045341 	0.037977 	 0.002180 
0.207881 	0.063787 	0.044489 	0.040377 	 0.002470 
0.203586 	0.059156 	0.042032 	0.035250 	 0.002038 
0.209172 	0.071314 	0.048600 	0.044660 	 0.002946 
0.208009 	0.056524 	0.040201 	0.037049 	 0.002591 
0.211968 	0.069424 	0.048709 	0.043663 	 0.003071 
0.205286 	0.066535 	0.046453 	0.039687 	 0.002503 
0.189334 	0.074855 	0.051745 	0.045577 	 0.002817 
0.223833 	0.074226 	0.050280 	0.050131 	 0.003432 
0.220533 	0.063142 	0.045202 	0.040013 	 0.002248 
0.183380 	0.081970 	0.057261 	0.049363 	 0.003386 
0.232035 	0.067092 	0.047652 	0.044689 	 0.003442 
0.215468 	0.064514 	0.044950 	0.040944 	 0.003186 
0.192888 	0.082359 	0.055673 	0.054685 	 0.003565 
0.222532 	0.079627 	0.055075 	0.052915 	 0.003878 
0.182192 	0.078991 	0.054055 	0.049694 	 0.003367 
0.203995 	0.062615 	0.045183 	0.033882 	 0.002025 
0.168563 	0.064930 	0.046022 	0.034336 	 0.001442 
0.189569 	0.078524 	0.053165 	0.046904 	 0.003201 
0.203437 	0.076002 	0.052006 	0.046612 	 0.003181 
0.183333 	0.075053 	0.052538 	0.043790 	 0.002689 
0.188208 	0.072089 	0.050035 	0.044534 	 0.002942 
0.196828 	0.077475 	0.052820 	0.050099 	 0.003365 
0.219465 	0.076550 	0.052278 	0.046056 	 0.003295 
