di 	gli 	gal 	gos3 	 gos4 
0.216919 	0.042282 	0.030411 	0.023788 	 0.000421 
0.203153 	0.054922 	0.038590 	0.028451 	 0.001203 
0.233958 	0.046369 	0.033321 	0.029520 	 0.000929 
0.218892 	0.051483 	0.036599 	0.031632 	 0.001037 
0.259755 	0.047458 	0.033407 	0.032855 	 0.001992 
0.217560 	0.052047 	0.037130 	0.030203 	 0.001376 
0.294466 	0.050211 	0.033806 	0.035251 	 0.001418 
0.224373 	0.044614 	0.031156 	0.031939 	 0.000544 
0.212586 	0.065965 	0.044024 	0.044161 	 0.002268 
0.228441 	0.047487 	0.033136 	0.030622 	 0.000914 
0.270306 	0.056062 	0.038920 	0.039351 	 0.002852 
0.208246 	0.052610 	0.039152 	0.029849 	 0.001406 
0.225863 	0.063308 	0.044709 	0.039657 	 0.002744 
0.223692 	0.059775 	0.043493 	0.036438 	 0.002828 
0.243710 	0.055008 	0.038440 	0.035068 	 0.002841 
0.224526 	0.064156 	0.045161 	0.040841 	 0.002621 
0.206206 	0.056058 	0.040715 	0.034792 	 0.001608 
0.209063 	0.058099 	0.041097 	0.036955 	 0.001948 
0.202213 	0.076476 	0.052616 	0.047437 	 0.003121 
0.210127 	0.062167 	0.043824 	0.036179 	 0.002814 
0.237752 	0.074438 	0.051602 	0.050543 	 0.003517 
0.240618 	0.064790 	0.045444 	0.039996 	 0.003270 
0.180065 	0.062943 	0.045367 	0.038082 	 0.002698 
0.237912 	0.067017 	0.047183 	0.041363 	 0.003378 
0.217359 	0.069935 	0.047621 	0.046975 	 0.003662 
0.252075 	0.060188 	0.042367 	0.043026 	 0.003652 
0.177427 	0.069018 	0.048517 	0.038476 	 0.003125 
0.197942 	0.060657 	0.044418 	0.034781 	 0.003364 
0.230890 	0.072494 	0.050120 	0.046635 	 0.004170 
0.186710 	0.056431 	0.042198 	0.028262 	 0.002416 
0.177689 	0.072287 	0.051794 	0.040076 	 0.003568 
0.199852 	0.063538 	0.046052 	0.038229 	 0.003073 
0.208033 	0.056124 	0.041361 	0.032261 	 0.002676 
0.215370 	0.057718 	0.040700 	0.034233 	 0.002157 
0.195122 	0.054278 	0.039383 	0.028279 	 0.002240 
0.208492 	0.066750 	0.047458 	0.040152 	 0.003084 
0.216548 	0.054364 	0.039254 	0.031011 	 0.002559 
0.216322 	0.065292 	0.046055 	0.041107 	 0.003020 
0.204985 	0.061532 	0.043345 	0.037809 	 0.002634 
0.197151 	0.064880 	0.046146 	0.040609 	 0.002835 
0.205444 	0.074919 	0.052351 	0.045219 	 0.003828 
0.226163 	0.054710 	0.039460 	0.034001 	 0.001804 
0.163550 	0.075191 	0.052836 	0.042456 	 0.003170 
0.231481 	0.062245 	0.043714 	0.038414 	 0.003167 
0.217949 	0.060129 	0.043306 	0.034060 	 0.002958 
0.211858 	0.078849 	0.054241 	0.050178 	 0.004090 
0.216974 	0.076549 	0.053288 	0.049435 	 0.003988 
0.174695 	0.079701 	0.054994 	0.048855 	 0.003864 
0.192724 	0.058136 	0.042054 	0.032155 	 0.002509 
0.170022 	0.054551 	0.041042 	0.027987 	 0.001493 
0.174104 	0.073653 	0.051420 	0.042702 	 0.003344 
0.214327 	0.067359 	0.047692 	0.041856 	 0.003195 
0.196448 	0.069238 	0.048218 	0.041254 	 0.002627 
0.199401 	0.070513 	0.049284 	0.041444 	 0.003051 
0.194620 	0.076015 	0.053242 	0.045842 	 0.003627 
0.204322 	0.072868 	0.050658 	0.044499 	 0.002868 
0.176667 	0.076332 	0.052875 	0.045716 	 0.002759 
0.207491 	0.059901 	0.043171 	0.032490 	 0.002538 
0.197901 	0.056485 	0.040807 	0.032269 	 0.001795 
0.190696 	0.086332 	0.058658 	0.056117 	 0.004087 
0.175195 	0.067349 	0.047405 	0.038372 	 0.002503 
