di 	gli 	gal 	gos3 	 gos4 
0.421996 	0.024640 	0.014908 	0.016616 	 -0.002017 
0.415633 	0.038783 	0.023840 	0.030465 	 -0.000262 
0.442519 	0.028763 	0.016349 	0.036301 	 -0.001274 
0.419344 	0.050792 	0.030839 	0.051029 	 0.000733 
0.428164 	0.052309 	0.031883 	0.052273 	 0.000239 
0.421018 	0.059779 	0.036956 	0.056881 	 0.000671 
0.409026 	0.061605 	0.037872 	0.059480 	 0.001251 
0.428923 	0.048635 	0.029710 	0.048833 	 -0.000029 
0.423859 	0.059553 	0.036735 	0.055835 	 0.000284 
0.417955 	0.058505 	0.035592 	0.057011 	 0.000126 
0.421577 	0.047714 	0.028748 	0.049566 	 0.000356 
0.409110 	0.057582 	0.035048 	0.057285 	 0.001275 
0.411188 	0.057019 	0.034462 	0.056159 	 0.000599 
0.414239 	0.049841 	0.029900 	0.054317 	 0.000695 
0.397306 	0.078721 	0.049032 	0.069679 	 0.001738 
0.416738 	0.059839 	0.036266 	0.062542 	 0.001282 
0.407169 	0.062696 	0.038697 	0.059273 	 0.001556 
0.413297 	0.068139 	0.042014 	0.064291 	 0.001004 
0.402702 	0.062423 	0.038364 	0.059589 	 0.001174 
0.403890 	0.060979 	0.037673 	0.058587 	 0.002017 
0.395651 	0.075611 	0.046885 	0.069300 	 0.002657 
0.402767 	0.070509 	0.044105 	0.061689 	 0.001686 
0.409583 	0.059711 	0.036639 	0.057004 	 0.000504 
0.386099 	0.077853 	0.048286 	0.072302 	 0.003412 
0.407527 	0.063789 	0.038843 	0.063759 	 0.001222 
0.394908 	0.077013 	0.047820 	0.070032 	 0.002196 
0.395946 	0.070215 	0.043684 	0.064918 	 0.002489 
0.392830 	0.068585 	0.042214 	0.065538 	 0.002213 
0.401160 	0.060745 	0.037553 	0.058614 	 0.002149 
0.389090 	0.080707 	0.050487 	0.072159 	 0.003133 
0.387161 	0.076932 	0.047929 	0.071291 	 0.003018 
0.385863 	0.078335 	0.048407 	0.074716 	 0.003446 
0.388035 	0.077660 	0.048100 	0.072903 	 0.002960 
0.391765 	0.073269 	0.045437 	0.068641 	 0.002769 
0.393403 	0.071763 	0.044420 	0.066610 	 0.002357 
0.393812 	0.067768 	0.042085 	0.063332 	 0.002420 
0.385861 	0.075243 	0.046450 	0.071925 	 0.003080 
0.384582 	0.075344 	0.046733 	0.071413 	 0.003121 
0.383223 	0.077206 	0.047812 	0.073601 	 0.003324 
0.372484 	0.086529 	0.053912 	0.078617 	 0.004235 
0.378609 	0.077219 	0.047848 	0.069483 	 0.003012 
0.367167 	0.082672 	0.051477 	0.073622 	 0.003796 
0.367423 	0.098879 	0.061736 	0.088182 	 0.004529 
0.384237 	0.077536 	0.048242 	0.072023 	 0.003328 
0.383411 	0.076602 	0.047850 	0.072071 	 0.003949 
0.377540 	0.081699 	0.050912 	0.076500 	 0.003694 
0.359788 	0.100349 	0.063084 	0.087468 	 0.005240 
0.369540 	0.086791 	0.054234 	0.076700 	 0.003744 
0.372915 	0.083554 	0.052276 	0.074496 	 0.003493 
0.362967 	0.099246 	0.062349 	0.084599 	 0.004333 
0.374184 	0.083621 	0.051875 	0.075140 	 0.002967 
0.362118 	0.084436 	0.052798 	0.075598 	 0.003877 
0.360622 	0.090873 	0.057130 	0.080026 	 0.004301 
0.374351 	0.086920 	0.055241 	0.073018 	 0.003847 
0.362084 	0.088988 	0.055856 	0.077266 	 0.004181 
0.347088 	0.101379 	0.063897 	0.086825 	 0.005296 
0.355456 	0.098946 	0.062523 	0.084782 	 0.005065 
0.354151 	0.097580 	0.061620 	0.083385 	 0.004724 
0.344251 	0.105734 	0.066547 	0.090468 	 0.004949 
0.365612 	0.088359 	0.055588 	0.080172 	 0.004976 
0.357770 	0.093124 	0.058987 	0.081221 	 0.004662 
0.343753 	0.109386 	0.069033 	0.093197 	 0.005734 
0.353108 	0.092710 	0.058224 	0.082208 	 0.004444 
0.357624 	0.090744 	0.056893 	0.081147 	 0.004547 
0.348254 	0.098259 	0.061869 	0.086120 	 0.005598 
0.330674 	0.115146 	0.073064 	0.096493 	 0.006758 
0.347071 	0.090109 	0.056466 	0.079617 	 0.004553 
0.340051 	0.102460 	0.064493 	0.089490 	 0.005307 
0.339896 	0.105162 	0.066519 	0.089570 	 0.006011 
0.337054 	0.109578 	0.069536 	0.092970 	 0.006517 
0.356922 	0.097569 	0.061506 	0.085736 	 0.004640 
0.344384 	0.097504 	0.061417 	0.083852 	 0.005200 
0.342402 	0.108201 	0.068476 	0.093748 	 0.005970 
0.336104 	0.115244 	0.073197 	0.096900 	 0.006303 
0.338343 	0.110325 	0.069862 	0.094451 	 0.006081 
0.345577 	0.101027 	0.063816 	0.086231 	 0.005613 
