di 	gli 	gal 	gos3 	 gos4 
0.426930 	0.019662 	0.011818 	0.013328 	 -0.002085 
0.417040 	0.036830 	0.022756 	0.028757 	 -0.000288 
0.441595 	0.032632 	0.018970 	0.037965 	 -0.001061 
0.418993 	0.053334 	0.032404 	0.052437 	 0.000646 
0.429688 	0.052398 	0.032070 	0.052446 	 0.000146 
0.420495 	0.060670 	0.037577 	0.057230 	 0.000743 
0.412899 	0.058983 	0.036372 	0.057488 	 0.001136 
0.429785 	0.049601 	0.030325 	0.049247 	 -0.000191 
0.423878 	0.059746 	0.036790 	0.056253 	 0.000229 
0.419162 	0.058069 	0.035378 	0.056627 	 0.000302 
0.423216 	0.046966 	0.028310 	0.049341 	 0.000238 
0.408658 	0.059882 	0.036563 	0.058702 	 0.001314 
0.412254 	0.056688 	0.034249 	0.056010 	 0.000425 
0.415613 	0.049136 	0.029533 	0.052584 	 0.000571 
0.399721 	0.075661 	0.047111 	0.067457 	 0.001557 
0.414737 	0.061198 	0.037224 	0.062411 	 0.001392 
0.406607 	0.062147 	0.038286 	0.058555 	 0.001524 
0.412556 	0.067459 	0.041591 	0.063699 	 0.001099 
0.400865 	0.063319 	0.038846 	0.060651 	 0.001281 
0.407912 	0.058616 	0.036304 	0.055934 	 0.001701 
0.396553 	0.077034 	0.047856 	0.070761 	 0.002789 
0.400756 	0.072657 	0.045664 	0.063472 	 0.001931 
0.408869 	0.060176 	0.037020 	0.057030 	 0.000606 
0.388315 	0.076813 	0.047551 	0.071830 	 0.003233 
0.410194 	0.061456 	0.037398 	0.060813 	 0.000922 
0.393828 	0.078446 	0.048722 	0.071331 	 0.002388 
0.395200 	0.074006 	0.046134 	0.067027 	 0.002633 
0.395366 	0.066871 	0.041061 	0.064168 	 0.002013 
0.401898 	0.059379 	0.036753 	0.057428 	 0.002054 
0.388460 	0.078613 	0.049090 	0.070955 	 0.003092 
0.385847 	0.077711 	0.048309 	0.071586 	 0.002861 
0.386046 	0.078758 	0.048707 	0.074615 	 0.003393 
0.389616 	0.075850 	0.047153 	0.070255 	 0.002851 
0.389487 	0.076915 	0.047850 	0.070928 	 0.002933 
0.391925 	0.074064 	0.045922 	0.068261 	 0.002541 
0.393888 	0.066781 	0.041357 	0.062721 	 0.002292 
0.385961 	0.077927 	0.048308 	0.072708 	 0.003026 
0.385004 	0.074396 	0.046059 	0.071343 	 0.003138 
0.382073 	0.077712 	0.048094 	0.074480 	 0.003442 
0.375273 	0.083429 	0.052050 	0.075762 	 0.004038 
0.381499 	0.074040 	0.045845 	0.067069 	 0.002910 
0.367357 	0.084059 	0.052426 	0.074778 	 0.003798 
0.368401 	0.096608 	0.060256 	0.086572 	 0.004361 
0.382628 	0.078295 	0.048712 	0.072510 	 0.003382 
0.384137 	0.078134 	0.048871 	0.073408 	 0.003904 
0.375246 	0.082580 	0.051432 	0.076733 	 0.003767 
0.360153 	0.100274 	0.063031 	0.087382 	 0.005277 
0.369221 	0.087076 	0.054403 	0.077004 	 0.003639 
0.369448 	0.084348 	0.052797 	0.075326 	 0.003586 
0.365536 	0.098697 	0.061940 	0.084346 	 0.004194 
0.375335 	0.083731 	0.051929 	0.075614 	 0.002902 
0.362759 	0.084195 	0.052656 	0.075447 	 0.003954 
0.361343 	0.090866 	0.057055 	0.080306 	 0.004246 
0.371107 	0.089952 	0.057006 	0.076330 	 0.003976 
0.356940 	0.093030 	0.058372 	0.080685 	 0.004513 
0.349661 	0.097627 	0.061589 	0.083688 	 0.004916 
0.355635 	0.098197 	0.061935 	0.083911 	 0.004839 
0.353485 	0.096309 	0.060623 	0.082790 	 0.004810 
0.341579 	0.106667 	0.067067 	0.091892 	 0.005144 
0.361272 	0.093161 	0.058678 	0.083573 	 0.005230 
0.357524 	0.093197 	0.059023 	0.081006 	 0.004620 
0.343804 	0.110855 	0.070012 	0.093829 	 0.005733 
0.354426 	0.091427 	0.057363 	0.081087 	 0.004197 
0.356856 	0.092709 	0.058143 	0.082887 	 0.004751 
0.349302 	0.098546 	0.062102 	0.085596 	 0.005545 
0.328514 	0.118331 	0.075054 	0.098904 	 0.007038 
0.350271 	0.086882 	0.054453 	0.077477 	 0.004476 
0.340185 	0.103549 	0.065090 	0.090168 	 0.005398 
0.339829 	0.108628 	0.068706 	0.092153 	 0.006238 
0.336249 	0.109731 	0.069694 	0.092557 	 0.006552 
0.354771 	0.096761 	0.061028 	0.085193 	 0.004795 
0.345395 	0.096868 	0.060924 	0.082886 	 0.005106 
0.343222 	0.106197 	0.067151 	0.092634 	 0.005752 
0.336844 	0.114133 	0.072516 	0.096342 	 0.006315 
0.338176 	0.111195 	0.070493 	0.094119 	 0.006089 
0.347293 	0.099542 	0.062916 	0.085369 	 0.005509 
0.339311 	0.107961 	0.068186 	0.091653 	 0.005566 
0.345125 	0.104273 	0.065913 	0.089349 	 0.005381 
0.344629 	0.100430 	0.063796 	0.085236 	 0.005510 
0.327909 	0.113550 	0.072144 	0.093594 	 0.006444 
0.348726 	0.092966 	0.058611 	0.079451 	 0.004289 
0.326990 	0.109346 	0.069298 	0.090888 	 0.006281 
0.334343 	0.102995 	0.065315 	0.087792 	 0.006171 
0.335750 	0.103390 	0.066266 	0.084517 	 0.006161 
0.346230 	0.091095 	0.057569 	0.079032 	 0.004613 
0.345289 	0.098980 	0.062791 	0.084537 	 0.005793 
0.327520 	0.113374 	0.072267 	0.091865 	 0.006290 
0.328984 	0.103099 	0.065624 	0.085791 	 0.006062 
