di 	gli 	gal 	gos3 	 gos4 
0.209692 	0.051781 	0.036118 	0.031162 	 0.000629 
0.225785 	0.050981 	0.034989 	0.033085 	 0.001153 
0.240012 	0.050081 	0.033665 	0.035654 	 0.000700 
0.207026 	0.062622 	0.042403 	0.041493 	 0.001084 
0.218797 	0.060012 	0.041530 	0.037275 	 0.001431 
0.228425 	0.052896 	0.035718 	0.037256 	 0.001109 
0.250139 	0.052200 	0.034295 	0.038321 	 0.000482 
0.163768 	0.068846 	0.047277 	0.041584 	 0.000515 
0.224085 	0.059261 	0.040342 	0.040147 	 0.001777 
0.207266 	0.044436 	0.031588 	0.024910 	 -0.000324 
0.245521 	0.066478 	0.044710 	0.045611 	 0.002112 
0.218529 	0.068927 	0.047379 	0.044970 	 0.001742 
0.190640 	0.067268 	0.046618 	0.041685 	 0.001929 
0.211376 	0.067868 	0.046269 	0.045791 	 0.002639 
0.209531 	0.066917 	0.045304 	0.044541 	 0.002051 
0.207003 	0.068390 	0.046745 	0.043952 	 0.001824 
0.193499 	0.064501 	0.043976 	0.041456 	 0.001233 
0.215812 	0.063185 	0.043149 	0.041149 	 0.001807 
0.207629 	0.082125 	0.055982 	0.052314 	 0.002666 
0.226737 	0.077593 	0.051972 	0.053679 	 0.003175 
0.259274 	0.080667 	0.053732 	0.058593 	 0.003932 
0.235917 	0.076152 	0.051894 	0.050997 	 0.003544 
0.139442 	0.083925 	0.058207 	0.048649 	 0.002866 
0.222136 	0.079413 	0.053287 	0.054366 	 0.003400 
0.222348 	0.074160 	0.049797 	0.050981 	 0.003134 
0.236808 	0.083330 	0.056203 	0.055811 	 0.003319 
0.152747 	0.069356 	0.048554 	0.040317 	 0.002236 
0.217937 	0.073926 	0.050211 	0.050039 	 0.003587 
0.233142 	0.077491 	0.052500 	0.052927 	 0.003999 
0.179054 	0.067805 	0.046863 	0.041244 	 0.001681 
0.186090 	0.080154 	0.054832 	0.051564 	 0.003508 
0.194746 	0.079085 	0.054271 	0.050568 	 0.003235 
0.198910 	0.060492 	0.042106 	0.037286 	 0.001713 
0.200485 	0.068671 	0.047330 	0.042519 	 0.002871 
0.192821 	0.066082 	0.046410 	0.038542 	 0.001978 
0.229840 	0.066928 	0.045092 	0.046304 	 0.002653 
0.202246 	0.048948 	0.034778 	0.028007 	 0.001514 
0.213790 	0.064477 	0.044243 	0.041358 	 0.002547 
0.199351 	0.073250 	0.049916 	0.047268 	 0.002917 
0.192704 	0.074389 	0.050696 	0.048254 	 0.002871 
0.223755 	0.070939 	0.048206 	0.047346 	 0.002749 
0.222846 	0.070947 	0.048238 	0.047216 	 0.002873 
0.164823 	0.091021 	0.062363 	0.055967 	 0.003574 
0.193460 	0.074203 	0.051770 	0.044231 	 0.003166 
0.218481 	0.058015 	0.041066 	0.034240 	 0.002415 
0.191631 	0.072770 	0.049513 	0.046984 	 0.002944 
0.191495 	0.081018 	0.056249 	0.049231 	 0.003278 
0.171074 	0.078453 	0.054262 	0.046372 	 0.002923 
0.181807 	0.075761 	0.052959 	0.043321 	 0.002209 
0.183930 	0.065866 	0.045488 	0.040594 	 0.001792 
0.203201 	0.075563 	0.051022 	0.050140 	 0.002855 
0.202455 	0.067846 	0.046213 	0.043864 	 0.002392 
0.184989 	0.073315 	0.049855 	0.046214 	 0.002628 
0.180283 	0.063836 	0.044313 	0.037344 	 0.002166 
0.200567 	0.070320 	0.048423 	0.044304 	 0.002776 
0.225058 	0.077447 	0.052569 	0.050721 	 0.003411 
0.194178 	0.080236 	0.054764 	0.050904 	 0.003276 
0.186486 	0.063213 	0.044157 	0.036843 	 0.002194 
0.199444 	0.064500 	0.045083 	0.037760 	 0.002193 
0.215116 	0.082168 	0.055210 	0.055743 	 0.003914 
0.165058 	0.078444 	0.054392 	0.045783 	 0.002454 
0.197149 	0.063200 	0.043760 	0.038673 	 0.002446 
0.162056 	0.077965 	0.054647 	0.044638 	 0.002880 
0.174614 	0.075114 	0.052204 	0.043829 	 0.002994 
0.181667 	0.078126 	0.053983 	0.047963 	 0.003188 
0.175906 	0.092637 	0.063420 	0.057095 	 0.004329 
0.173553 	0.063072 	0.044489 	0.034988 	 0.002046 
0.164892 	0.078870 	0.054523 	0.046446 	 0.002679 
0.177221 	0.073242 	0.050969 	0.042734 	 0.002605 
0.181566 	0.067704 	0.047640 	0.037874 	 0.002264 
0.173986 	0.080805 	0.055333 	0.048583 	 0.003176 
0.206348 	0.077967 	0.053471 	0.048689 	 0.003221 
0.164357 	0.071831 	0.050029 	0.041746 	 0.002122 
0.174886 	0.077779 	0.053229 	0.048439 	 0.003381 
0.192185 	0.073867 	0.051521 	0.043297 	 0.002834 
0.188646 	0.065118 	0.045698 	0.037893 	 0.002267 
0.190240 	0.068939 	0.047542 	0.041753 	 0.002420 
0.207256 	0.075533 	0.052149 	0.046280 	 0.003604 
0.151201 	0.089452 	0.061742 	0.052553 	 0.003376 
0.173979 	0.068807 	0.047945 	0.040050 	 0.002449 
0.179635 	0.077008 	0.053531 	0.045239 	 0.003217 
0.141973 	0.088437 	0.061286 	0.051699 	 0.003627 
0.195198 	0.074640 	0.051725 	0.045672 	 0.003952 
0.179539 	0.073745 	0.051442 	0.042252 	 0.002897 
0.146317 	0.067355 	0.048449 	0.033303 	 0.001938 
0.175365 	0.067577 	0.048150 	0.035747 	 0.002116 
0.212990 	0.071677 	0.049582 	0.043017 	 0.003005 
0.171128 	0.080069 	0.056001 	0.045021 	 0.003079 
0.212070 	0.088520 	0.059749 	0.058035 	 0.004131 
0.176456 	0.078897 	0.054688 	0.045856 	 0.002911 
0.188272 	0.080701 	0.055466 	0.049343 	 0.003733 
0.173372 	0.088312 	0.060655 	0.053533 	 0.003487 
0.154650 	0.092811 	0.064109 	0.054555 	 0.004088 
0.195503 	0.095979 	0.066523 	0.057110 	 0.005238 
0.165007 	0.089971 	0.062711 	0.051632 	 0.004076 
0.211135 	0.091723 	0.063035 	0.055899 	 0.004004 
0.160132 	0.085463 	0.059668 	0.048656 	 0.004121 
0.175501 	0.081315 	0.056844 	0.046798 	 0.003802 
0.159209 	0.078514 	0.055259 	0.043337 	 0.003297 
0.148966 	0.078142 	0.055250 	0.041954 	 0.002605 
0.168722 	0.077753 	0.054290 	0.044587 	 0.002989 
0.168292 	0.077605 	0.054253 	0.044114 	 0.003328 
0.145669 	0.087871 	0.061168 	0.049352 	 0.003536 
0.145336 	0.076585 	0.054233 	0.039633 	 0.002469 
0.165852 	0.073930 	0.051277 	0.042612 	 0.002278 
0.192473 	0.083370 	0.057655 	0.049578 	 0.004221 
0.177801 	0.088842 	0.061371 	0.052861 	 0.004002 
0.134014 	0.083774 	0.059220 	0.044201 	 0.003095 
0.187875 	0.071546 	0.050172 	0.041288 	 0.003183 
0.152648 	0.078845 	0.055619 	0.041265 	 0.003161 
0.171180 	0.090493 	0.063041 	0.050873 	 0.004055 
0.178559 	0.088909 	0.061491 	0.051851 	 0.003928 
0.149084 	0.074326 	0.052989 	0.038748 	 0.002771 
0.171155 	0.080115 	0.055554 	0.045764 	 0.003042 
0.106065 	0.096597 	0.067870 	0.050311 	 0.003174 
0.194233 	0.073859 	0.051578 	0.042712 	 0.003321 
0.145933 	0.096014 	0.066675 	0.053734 	 0.003722 
0.154966 	0.083544 	0.058994 	0.044322 	 0.003845 
0.161976 	0.083427 	0.057515 	0.049037 	 0.003231 
0.168538 	0.080397 	0.055895 	0.045504 	 0.002795 
0.125243 	0.084367 	0.060366 	0.042091 	 0.003155 
0.151589 	0.087735 	0.061111 	0.049079 	 0.003816 
0.171148 	0.080092 	0.056608 	0.042237 	 0.003582 
0.137743 	0.085903 	0.061546 	0.041567 	 0.003164 
0.160735 	0.088400 	0.061676 	0.049491 	 0.003304 
0.152909 	0.082705 	0.058642 	0.042786 	 0.002736 
0.145860 	0.084911 	0.059519 	0.046121 	 0.003363 
0.166014 	0.088881 	0.062272 	0.049261 	 0.003955 
0.151823 	0.083060 	0.059223 	0.042202 	 0.003631 
0.165829 	0.081400 	0.057178 	0.043193 	 0.003509 
0.134052 	0.090559 	0.064150 	0.046563 	 0.003849 
0.142312 	0.081481 	0.057302 	0.043030 	 0.002580 
0.159839 	0.077442 	0.055090 	0.039674 	 0.003016 
0.136240 	0.079615 	0.057145 	0.038503 	 0.002433 
0.155596 	0.079297 	0.055764 	0.042988 	 0.003597 
0.116920 	0.093636 	0.066669 	0.046105 	 0.003855 
0.135763 	0.103704 	0.072367 	0.057789 	 0.004460 
0.145279 	0.084299 	0.060511 	0.041707 	 0.003531 
0.153256 	0.089398 	0.062430 	0.049939 	 0.004320 
0.145905 	0.080516 	0.056951 	0.040859 	 0.002858 
0.172537 	0.091313 	0.063888 	0.049733 	 0.003727 
0.198196 	0.087204 	0.060396 	0.051331 	 0.004977 
0.141966 	0.093711 	0.065799 	0.050040 	 0.003623 
0.150742 	0.088388 	0.062984 	0.045086 	 0.003986 
0.157573 	0.083577 	0.059742 	0.043158 	 0.004530 
0.115539 	0.089314 	0.064181 	0.043192 	 0.003671 
0.113987 	0.088119 	0.062815 	0.042070 	 0.002987 
0.143457 	0.087792 	0.062541 	0.043705 	 0.003445 
0.128571 	0.099383 	0.070437 	0.051208 	 0.004541 
0.164022 	0.085927 	0.060839 	0.044419 	 0.003916 
0.127189 	0.094443 	0.066740 	0.048793 	 0.003389 
0.131297 	0.093548 	0.066275 	0.046078 	 0.003446 
0.133083 	0.093958 	0.065973 	0.049325 	 0.003687 
0.176398 	0.089259 	0.062924 	0.048243 	 0.004830 
0.195629 	0.089844 	0.062551 	0.051122 	 0.004854 
0.157120 	0.094338 	0.066768 	0.049325 	 0.004706 
0.167358 	0.093607 	0.065373 	0.051633 	 0.004198 
0.114061 	0.077585 	0.056929 	0.032276 	 0.002473 
0.148219 	0.096764 	0.068042 	0.050745 	 0.003920 
0.138861 	0.087091 	0.062360 	0.041818 	 0.003795 
0.103576 	0.098706 	0.069962 	0.047947 	 0.003229 
0.136768 	0.105871 	0.074907 	0.054415 	 0.005460 
0.147684 	0.093119 	0.065698 	0.047591 	 0.003528 
0.149567 	0.090648 	0.063991 	0.046314 	 0.003677 
