di 	gli 	gal 	gos3 	 gos4 
0.420953 	0.026127 	0.015860 	0.017081 	 -0.002053 
0.416794 	0.038561 	0.023819 	0.030509 	 -0.000265 
0.442242 	0.027713 	0.015668 	0.035643 	 -0.001252 
0.418347 	0.051641 	0.031402 	0.052396 	 0.000937 
0.429284 	0.050666 	0.030870 	0.051316 	 0.000083 
0.420706 	0.059233 	0.036683 	0.056418 	 0.000569 
0.408229 	0.061213 	0.037633 	0.059398 	 0.001231 
0.428538 	0.048298 	0.029484 	0.048388 	 -0.000003 
0.423812 	0.059756 	0.036930 	0.056208 	 0.000383 
0.418120 	0.057941 	0.035195 	0.056398 	 0.000020 
0.423205 	0.046513 	0.027982 	0.048952 	 0.000235 
0.409518 	0.056373 	0.034304 	0.056487 	 0.001245 
0.412406 	0.056684 	0.034299 	0.055981 	 0.000578 
0.414083 	0.048951 	0.029261 	0.053733 	 0.000672 
0.397446 	0.078378 	0.048829 	0.069586 	 0.001724 
0.415906 	0.060394 	0.036632 	0.062962 	 0.001357 
0.406751 	0.062582 	0.038615 	0.058942 	 0.001502 
0.413040 	0.068336 	0.042171 	0.064042 	 0.001012 
0.402478 	0.063331 	0.038959 	0.060255 	 0.001152 
0.403436 	0.061481 	0.038007 	0.058780 	 0.002045 
0.394697 	0.076840 	0.047668 	0.070306 	 0.002721 
0.403148 	0.069833 	0.043722 	0.061063 	 0.001543 
0.409284 	0.059987 	0.036837 	0.056912 	 0.000544 
0.386499 	0.077212 	0.047947 	0.071884 	 0.003390 
0.407041 	0.064376 	0.039283 	0.064552 	 0.001373 
0.394240 	0.077494 	0.048084 	0.070421 	 0.002221 
0.395936 	0.070237 	0.043629 	0.065256 	 0.002502 
0.392163 	0.069171 	0.042705 	0.065937 	 0.002277 
0.399965 	0.061066 	0.037680 	0.059038 	 0.002204 
0.389109 	0.081317 	0.050861 	0.073104 	 0.003180 
0.388056 	0.076148 	0.047466 	0.070527 	 0.002887 
0.385273 	0.079036 	0.048862 	0.075552 	 0.003537 
0.389012 	0.077210 	0.047816 	0.072548 	 0.002877 
0.390890 	0.073576 	0.045633 	0.069122 	 0.002847 
0.393727 	0.071511 	0.044221 	0.066404 	 0.002286 
0.392182 	0.067820 	0.042084 	0.063566 	 0.002477 
0.385049 	0.074651 	0.045996 	0.072278 	 0.003106 
0.383825 	0.076180 	0.047254 	0.072130 	 0.003146 
0.382765 	0.078156 	0.048440 	0.074528 	 0.003383 
0.372518 	0.087459 	0.054496 	0.079160 	 0.004301 
0.380419 	0.075934 	0.046969 	0.068630 	 0.002815 
0.365195 	0.084097 	0.052415 	0.074798 	 0.003995 
0.368469 	0.098713 	0.061645 	0.088196 	 0.004508 
0.383515 	0.077393 	0.048103 	0.072111 	 0.003298 
0.383240 	0.076231 	0.047666 	0.071636 	 0.003946 
0.377801 	0.081907 	0.051034 	0.076715 	 0.003651 
0.359585 	0.100258 	0.063033 	0.087345 	 0.005243 
0.369502 	0.086940 	0.054349 	0.077297 	 0.003789 
0.372154 	0.084630 	0.052994 	0.075402 	 0.003522 
0.361600 	0.100798 	0.063409 	0.085910 	 0.004552 
0.373669 	0.083756 	0.051985 	0.075464 	 0.002971 
0.361874 	0.084511 	0.052861 	0.075392 	 0.003859 
0.359586 	0.091403 	0.057445 	0.080580 	 0.004337 
0.374460 	0.086762 	0.055172 	0.072705 	 0.003893 
0.362203 	0.088763 	0.055654 	0.077933 	 0.004252 
0.347665 	0.101559 	0.064049 	0.087133 	 0.005372 
0.355569 	0.098983 	0.062575 	0.084894 	 0.005077 
0.354818 	0.097455 	0.061485 	0.083514 	 0.004758 
0.344242 	0.106052 	0.066765 	0.090713 	 0.004969 
0.364194 	0.088871 	0.055903 	0.080460 	 0.005066 
0.357545 	0.093582 	0.059308 	0.081681 	 0.004708 
0.343236 	0.110304 	0.069687 	0.094053 	 0.005796 
0.353345 	0.093085 	0.058463 	0.082390 	 0.004475 
0.357619 	0.090867 	0.056969 	0.081289 	 0.004532 
0.347174 	0.099061 	0.062377 	0.086200 	 0.005668 
0.330473 	0.115597 	0.073269 	0.096841 	 0.006758 
0.346751 	0.091042 	0.057081 	0.080164 	 0.004502 
0.339885 	0.102213 	0.064303 	0.089688 	 0.005288 
0.339452 	0.105350 	0.066637 	0.089999 	 0.006091 
0.337408 	0.109464 	0.069432 	0.092966 	 0.006477 
0.356923 	0.097968 	0.061826 	0.086114 	 0.004621 
0.344122 	0.098147 	0.061828 	0.084396 	 0.005256 
0.344103 	0.107540 	0.068079 	0.093030 	 0.005889 
0.336176 	0.114855 	0.073010 	0.096635 	 0.006228 
0.336946 	0.111377 	0.070482 	0.095093 	 0.006139 
0.346271 	0.099469 	0.062817 	0.085127 	 0.005630 
0.334450 	0.110911 	0.070177 	0.093631 	 0.005776 
0.350126 	0.102598 	0.064962 	0.087235 	 0.005122 
