k 	di 	gli 	gal 	gos3 	gos4 	lac 	 glb 
1 	0.052506 	0.029772 	0.008925 	0.011699 	0.002842 	0.052983 	 0.002066 
2 	0.033371 	0.020469 	0.006654 	0.008132 	0.002263 	0.034370 	 0.001698 
3 	0.028117 	0.020084 	0.005716 	0.007592 	0.002215 	0.029503 	 0.001629 
4 	0.026373 	0.019882 	0.005684 	0.007379 	0.002217 	0.027626 	 0.001634 
5 	0.024900 	0.019763 	0.005686 	0.007221 	0.002215 	0.026191 	 0.001643 
6 	0.024594 	0.019753 	0.005662 	0.007183 	0.002219 	0.025891 	 0.001648 
7 	0.024147 	0.019560 	0.005667 	0.007017 	0.002195 	0.025476 	 0.001635 
8 	0.023531 	0.019132 	0.005596 	0.006786 	0.002155 	0.024863 	 0.001639 
9 	0.022800 	0.019478 	0.005734 	0.006846 	0.002199 	0.024119 	 0.001665 
10 	0.022945 	0.019434 	0.005727 	0.006808 	0.002194 	0.024314 	 0.001661 
11 	0.022718 	0.019430 	0.005710 	0.006834 	0.002197 	0.024085 	 0.001665 
12 	0.022771 	0.019488 	0.005753 	0.006817 	0.002200 	0.024142 	 0.001675 
13 	0.022840 	0.019431 	0.005706 	0.006832 	0.002191 	0.024201 	 0.001665 
14 	0.022678 	0.019483 	0.005715 	0.006854 	0.002205 	0.024059 	 0.001667 
15 	0.022735 	0.019484 	0.005732 	0.006854 	0.002200 	0.024115 	 0.001673 
