di 	gli 	gal 	gos3 	gos4 	lac 	 glb 
0.434140 	0.045176 	0.008146 	0.028983 	0.001306 	0.433767 	 0.000372 
0.433257 	0.048488 	0.008745 	0.031166 	0.001446 	0.432879 	 0.000369 
0.441434 	0.041640 	0.007552 	0.027070 	0.001134 	0.441070 	 0.000368 
0.436269 	0.043407 	0.007950 	0.027661 	0.001241 	0.435895 	 0.000375 
0.433994 	0.049785 	0.008968 	0.032277 	0.001503 	0.433617 	 0.000375 
0.413204 	0.048718 	0.009100 	0.030711 	0.001444 	0.412793 	 0.000412 
0.435137 	0.044135 	0.008006 	0.028384 	0.001288 	0.434719 	 0.000405 
0.444857 	0.046219 	0.008152 	0.030140 	0.001364 	0.444470 	 0.000381 
0.444202 	0.048322 	0.009174 	0.030349 	0.001464 	0.443815 	 0.000386 
0.421124 	0.049191 	0.009802 	0.030624 	0.001516 	0.420764 	 0.000367 
0.437601 	0.047019 	0.009551 	0.029847 	0.001396 	0.437210 	 0.000384 
0.429808 	0.046793 	0.008752 	0.029646 	0.001373 	0.429430 	 0.000380 
0.405345 	0.049130 	0.009614 	0.030490 	0.001461 	0.404935 	 0.000413 
0.428400 	0.048427 	0.009873 	0.029924 	0.001448 	0.427989 	 0.000409 
0.442921 	0.044763 	0.008161 	0.029245 	0.001302 	0.442573 	 0.000358 
0.436836 	0.050951 	0.009843 	0.032262 	0.001559 	0.436434 	 0.000400 
0.424060 	0.047553 	0.008394 	0.030280 	0.001485 	0.423622 	 0.000419 
0.435151 	0.048150 	0.009531 	0.030234 	0.001441 	0.434772 	 0.000384 
0.424542 	0.054532 	0.010359 	0.034410 	0.001716 	0.424096 	 0.000442 
0.433716 	0.049527 	0.009446 	0.031583 	0.001511 	0.433311 	 0.000409 
0.424920 	0.055016 	0.010749 	0.034760 	0.001742 	0.424514 	 0.000397 
0.428072 	0.050557 	0.009942 	0.032100 	0.001502 	0.427679 	 0.000407 
0.428592 	0.054019 	0.010449 	0.033929 	0.001720 	0.428134 	 0.000446 
0.425969 	0.049975 	0.009568 	0.031289 	0.001552 	0.425526 	 0.000439 
0.441551 	0.046274 	0.008264 	0.029833 	0.001363 	0.441140 	 0.000418 
0.423827 	0.053293 	0.010400 	0.033686 	0.001670 	0.423409 	 0.000416 
0.435806 	0.052981 	0.010290 	0.033824 	0.001650 	0.435389 	 0.000426 
0.431549 	0.048769 	0.009057 	0.030830 	0.001456 	0.431118 	 0.000418 
0.415987 	0.055494 	0.011096 	0.034535 	0.001807 	0.415553 	 0.000430 
0.424252 	0.054987 	0.011137 	0.033990 	0.001760 	0.423800 	 0.000443 
0.414875 	0.055252 	0.011461 	0.033969 	0.001738 	0.414444 	 0.000439 
0.434541 	0.050859 	0.009576 	0.031956 	0.001628 	0.434122 	 0.000420 
0.415525 	0.056433 	0.011607 	0.034923 	0.001838 	0.415104 	 0.000419 
0.421271 	0.053805 	0.011316 	0.033348 	0.001701 	0.420855 	 0.000427 
0.442235 	0.055773 	0.010594 	0.035540 	0.001783 	0.441798 	 0.000436 
0.416039 	0.057743 	0.012408 	0.035836 	0.001858 	0.415608 	 0.000440 
0.431019 	0.055640 	0.010022 	0.035848 	0.001845 	0.430562 	 0.000446 
0.421979 	0.056658 	0.011324 	0.035116 	0.001837 	0.421520 	 0.000455 
0.426881 	0.054266 	0.010859 	0.033915 	0.001696 	0.426460 	 0.000430 
0.395780 	0.065003 	0.013360 	0.039546 	0.002221 	0.395301 	 0.000468 
0.419666 	0.054849 	0.011358 	0.033393 	0.001754 	0.419187 	 0.000482 
0.427024 	0.052303 	0.011222 	0.032131 	0.001614 	0.426585 	 0.000449 
0.433306 	0.056183 	0.012123 	0.034284 	0.001826 	0.432856 	 0.000456 
0.435443 	0.058576 	0.010480 	0.037487 	0.001985 	0.434950 	 0.000477 
0.413548 	0.061055 	0.012745 	0.037473 	0.002023 	0.413078 	 0.000472 
0.424533 	0.060712 	0.011962 	0.038172 	0.002020 	0.424059 	 0.000465 
0.414866 	0.059125 	0.011536 	0.037122 	0.001989 	0.414374 	 0.000490 
0.429923 	0.056691 	0.011802 	0.035315 	0.001856 	0.429439 	 0.000479 
0.430604 	0.053126 	0.010829 	0.033177 	0.001688 	0.430164 	 0.000449 
0.411463 	0.057513 	0.011725 	0.035589 	0.001895 	0.411025 	 0.000440 
0.417428 	0.060086 	0.012458 	0.036987 	0.002012 	0.416956 	 0.000463 
0.406396 	0.054989 	0.011212 	0.033553 	0.001806 	0.405950 	 0.000444 
0.414782 	0.055240 	0.010785 	0.034960 	0.001780 	0.414343 	 0.000447 
0.405715 	0.059563 	0.012928 	0.036097 	0.001948 	0.405271 	 0.000457 
0.413825 	0.061170 	0.012392 	0.037353 	0.002068 	0.413345 	 0.000474 
0.405828 	0.060056 	0.012788 	0.037058 	0.002008 	0.405388 	 0.000446 
0.423701 	0.059173 	0.012545 	0.036235 	0.001934 	0.423223 	 0.000480 
0.420721 	0.059433 	0.012432 	0.036567 	0.001979 	0.420258 	 0.000468 
0.412484 	0.058408 	0.012050 	0.036066 	0.001913 	0.412023 	 0.000460 
0.417037 	0.057815 	0.012375 	0.035489 	0.001862 	0.416589 	 0.000462 
0.421199 	0.059536 	0.012834 	0.036438 	0.001962 	0.420746 	 0.000460 
0.414608 	0.062802 	0.013308 	0.038706 	0.002104 	0.414162 	 0.000453 
0.419601 	0.051670 	0.009809 	0.032531 	0.001629 	0.419137 	 0.000473 
0.408728 	0.058455 	0.012406 	0.035616 	0.001893 	0.408256 	 0.000482 
0.418901 	0.062376 	0.013202 	0.038191 	0.002120 	0.418437 	 0.000464 
0.401231 	0.063037 	0.014034 	0.037863 	0.002102 	0.400748 	 0.000485 
0.405696 	0.061973 	0.012929 	0.037947 	0.002073 	0.405217 	 0.000478 
0.428048 	0.055677 	0.011246 	0.034337 	0.001834 	0.427565 	 0.000472 
0.426651 	0.055032 	0.011257 	0.034090 	0.001734 	0.426171 	 0.000495 
0.402538 	0.055680 	0.011572 	0.033641 	0.001793 	0.402034 	 0.000495 
0.416065 	0.057414 	0.011997 	0.035160 	0.001866 	0.415605 	 0.000462 
0.423896 	0.058805 	0.011805 	0.036534 	0.001937 	0.423386 	 0.000508 
0.416777 	0.063949 	0.012653 	0.040283 	0.002230 	0.416282 	 0.000492 
