di 	gli 	gal 	gos3 	gos4 	lac 	 glb 
0.475149 	0.002261 	-0.001203 	0.003044 	-0.000643 	0.475069 	 0.000077 
0.483604 	0.011208 	-0.001954 	0.012993 	-0.000072 	0.483490 	 0.000115 
0.465972 	0.007153 	-0.002595 	0.008766 	-0.000463 	0.465825 	 0.000153 
0.478254 	0.009406 	-0.000477 	0.008053 	-0.000088 	0.478154 	 0.000085 
0.480248 	0.013304 	0.000689 	0.010356 	-0.000016 	0.480129 	 0.000114 
0.469913 	0.010468 	0.000367 	0.008136 	-0.000162 	0.469837 	 0.000072 
0.474650 	0.010277 	-0.002209 	0.012318 	-0.000358 	0.474520 	 0.000115 
0.466095 	0.013844 	-0.001567 	0.012995 	-0.000113 	0.465901 	 0.000173 
0.475986 	0.009367 	-0.000423 	0.007982 	-0.000127 	0.475883 	 0.000099 
0.459826 	0.011377 	0.001285 	0.008523 	-0.000170 	0.459743 	 0.000073 
0.458449 	0.018634 	0.002000 	0.014122 	0.000082 	0.458283 	 0.000161 
0.476341 	0.011112 	0.001100 	0.008422 	-0.000279 	0.476225 	 0.000109 
0.477332 	0.008966 	0.000122 	0.008175 	-0.000278 	0.477255 	 0.000054 
0.475453 	0.010631 	-0.000531 	0.010288 	-0.000115 	0.475294 	 0.000159 
0.479085 	0.008851 	0.001749 	0.005751 	-0.000287 	0.478979 	 0.000108 
0.470687 	0.017532 	0.003229 	0.012206 	0.000162 	0.470599 	 0.000080 
0.465981 	0.021888 	0.002591 	0.016117 	0.000488 	0.465788 	 0.000196 
0.472803 	0.011518 	-0.000268 	0.009998 	-0.000047 	0.472650 	 0.000155 
0.473453 	0.015726 	-0.000870 	0.013793 	-0.000092 	0.473223 	 0.000228 
0.459119 	0.023031 	-0.001025 	0.020048 	0.000407 	0.458830 	 0.000288 
0.464730 	0.019975 	-0.000651 	0.016491 	0.000152 	0.464447 	 0.000285 
0.474518 	0.015622 	-0.001926 	0.015865 	-0.000179 	0.474307 	 0.000220 
0.467056 	0.015179 	0.000237 	0.013157 	-0.000072 	0.466860 	 0.000201 
0.460093 	0.022640 	0.000251 	0.019041 	0.000250 	0.459816 	 0.000275 
0.456506 	0.019006 	0.001939 	0.014007 	0.000217 	0.456303 	 0.000195 
0.458688 	0.021438 	0.001229 	0.016193 	0.000303 	0.458448 	 0.000243 
0.452142 	0.026531 	0.002146 	0.020239 	0.000575 	0.451903 	 0.000242 
0.460489 	0.025914 	0.002388 	0.019902 	0.000415 	0.460236 	 0.000263 
0.456566 	0.020813 	0.000985 	0.016514 	0.000364 	0.456328 	 0.000242 
0.455331 	0.026432 	0.001311 	0.020161 	0.000649 	0.455046 	 0.000291 
0.458809 	0.025689 	0.002748 	0.019532 	0.000416 	0.458597 	 0.000218 
0.458330 	0.026304 	0.002511 	0.019780 	0.000433 	0.458058 	 0.000270 
0.458569 	0.026468 	0.002463 	0.020713 	0.000589 	0.458296 	 0.000272 
0.454726 	0.031605 	0.003651 	0.022906 	0.000813 	0.454433 	 0.000295 
0.447921 	0.032790 	0.003646 	0.023997 	0.000813 	0.447636 	 0.000298 
0.454800 	0.026707 	0.002425 	0.019803 	0.000400 	0.454550 	 0.000244 
0.452457 	0.024269 	0.003131 	0.018493 	0.000210 	0.452246 	 0.000217 
0.454018 	0.026972 	0.002031 	0.020778 	0.000450 	0.453728 	 0.000287 
0.451255 	0.035712 	0.003636 	0.027068 	0.000926 	0.450912 	 0.000347 
0.458055 	0.032013 	0.004025 	0.022489 	0.000774 	0.457741 	 0.000314 
0.460250 	0.028123 	0.003284 	0.020808 	0.000635 	0.459987 	 0.000278 
0.442885 	0.030565 	0.004356 	0.022171 	0.000607 	0.442629 	 0.000248 
0.456412 	0.031655 	0.006152 	0.021211 	0.000749 	0.456189 	 0.000220 
0.447896 	0.032422 	0.003844 	0.024849 	0.000748 	0.447620 	 0.000270 
0.442366 	0.032553 	0.005572 	0.022287 	0.000757 	0.442104 	 0.000267 
0.444511 	0.036873 	0.005882 	0.025564 	0.000964 	0.444209 	 0.000307 
0.434697 	0.037220 	0.004392 	0.027577 	0.000997 	0.434339 	 0.000365 
0.440444 	0.036014 	0.004086 	0.026029 	0.000808 	0.440103 	 0.000346 
0.444210 	0.028730 	0.003484 	0.021381 	0.000400 	0.443944 	 0.000264 
0.442756 	0.036785 	0.006001 	0.024645 	0.000973 	0.442427 	 0.000327 
0.445397 	0.037435 	0.004769 	0.027147 	0.000918 	0.445036 	 0.000369 
0.450915 	0.036847 	0.005825 	0.025739 	0.000896 	0.450601 	 0.000319 
0.428191 	0.044755 	0.008541 	0.029594 	0.001329 	0.427871 	 0.000317 
0.431496 	0.037522 	0.006386 	0.025780 	0.000974 	0.431212 	 0.000283 
