di 	gli 	gal 	gos3 	gos4 	lac 	 glb 
0.434249 	0.040124 	0.007044 	0.026899 	0.001076 	0.433882 	 0.000365 
0.435336 	0.042339 	0.008020 	0.027107 	0.001080 	0.434967 	 0.000363 
0.431158 	0.041070 	0.007672 	0.027190 	0.001172 	0.430801 	 0.000356 
0.426766 	0.041516 	0.008503 	0.026327 	0.001162 	0.426414 	 0.000338 
0.421736 	0.043937 	0.007770 	0.029567 	0.001182 	0.421333 	 0.000401 
0.428319 	0.040663 	0.006635 	0.027409 	0.001093 	0.427912 	 0.000409 
0.428152 	0.043075 	0.007836 	0.028013 	0.001191 	0.427755 	 0.000397 
0.443042 	0.044891 	0.008308 	0.029122 	0.001211 	0.442622 	 0.000426 
0.433772 	0.043967 	0.009405 	0.026853 	0.001212 	0.433402 	 0.000364 
0.421892 	0.045077 	0.010089 	0.028003 	0.001456 	0.421549 	 0.000343 
0.416268 	0.045690 	0.009289 	0.029437 	0.001419 	0.415890 	 0.000360 
0.431447 	0.045278 	0.007964 	0.029801 	0.001257 	0.431038 	 0.000421 
0.431073 	0.043229 	0.008754 	0.026614 	0.001192 	0.430696 	 0.000383 
0.431323 	0.051119 	0.011186 	0.031440 	0.001588 	0.430918 	 0.000402 
0.417258 	0.047119 	0.009597 	0.030331 	0.001452 	0.416896 	 0.000353 
0.433027 	0.050862 	0.010228 	0.032475 	0.001496 	0.432633 	 0.000386 
0.426925 	0.043820 	0.009289 	0.025962 	0.001218 	0.426553 	 0.000370 
0.426177 	0.045183 	0.009744 	0.027561 	0.001259 	0.425844 	 0.000341 
0.425166 	0.048921 	0.009189 	0.032011 	0.001375 	0.424711 	 0.000461 
0.415307 	0.051853 	0.010418 	0.033144 	0.001655 	0.414907 	 0.000384 
0.411504 	0.049534 	0.009523 	0.033199 	0.001472 	0.411091 	 0.000417 
0.424709 	0.049811 	0.009354 	0.032811 	0.001454 	0.424262 	 0.000440 
0.416933 	0.054688 	0.010287 	0.035889 	0.001782 	0.416473 	 0.000468 
0.416794 	0.048490 	0.010013 	0.030189 	0.001456 	0.416370 	 0.000423 
0.430170 	0.045915 	0.008425 	0.029786 	0.001387 	0.429755 	 0.000402 
0.416619 	0.050303 	0.010321 	0.031765 	0.001467 	0.416215 	 0.000408 
0.428406 	0.046852 	0.008725 	0.030761 	0.001291 	0.427984 	 0.000419 
0.428283 	0.050843 	0.010115 	0.032593 	0.001491 	0.427837 	 0.000447 
0.409707 	0.055269 	0.011025 	0.035698 	0.001856 	0.409261 	 0.000454 
0.418870 	0.051069 	0.010375 	0.031934 	0.001646 	0.418448 	 0.000414 
0.425957 	0.049093 	0.009826 	0.030573 	0.001421 	0.425552 	 0.000395 
0.409823 	0.051611 	0.010998 	0.032383 	0.001678 	0.409424 	 0.000400 
0.410971 	0.055354 	0.012023 	0.035656 	0.001798 	0.410544 	 0.000443 
0.406120 	0.058585 	0.013277 	0.036272 	0.001977 	0.405709 	 0.000404 
0.414578 	0.056976 	0.011054 	0.037730 	0.001764 	0.414122 	 0.000462 
0.408680 	0.054342 	0.011166 	0.034405 	0.001718 	0.408253 	 0.000416 
0.411962 	0.056784 	0.011273 	0.036015 	0.001726 	0.411514 	 0.000452 
0.413334 	0.056626 	0.011391 	0.035392 	0.001831 	0.412878 	 0.000452 
0.410902 	0.056072 	0.011312 	0.035901 	0.001774 	0.410466 	 0.000421 
0.394491 	0.058089 	0.012396 	0.035624 	0.001877 	0.394049 	 0.000437 
0.416881 	0.053759 	0.011877 	0.032986 	0.001697 	0.416422 	 0.000456 
0.413058 	0.058958 	0.012020 	0.037702 	0.001960 	0.412599 	 0.000484 
0.411792 	0.059496 	0.013579 	0.036173 	0.002030 	0.411346 	 0.000430 
0.414471 	0.060813 	0.012429 	0.037027 	0.001947 	0.413993 	 0.000475 
0.412889 	0.062316 	0.013372 	0.039005 	0.002059 	0.412420 	 0.000480 
0.413950 	0.056278 	0.011611 	0.035404 	0.001730 	0.413501 	 0.000438 
0.407170 	0.058148 	0.011978 	0.036949 	0.002043 	0.406695 	 0.000469 
0.405011 	0.062141 	0.013691 	0.038544 	0.002088 	0.404559 	 0.000462 
0.410426 	0.062922 	0.013128 	0.039913 	0.002165 	0.409951 	 0.000485 
0.406848 	0.053922 	0.011245 	0.033775 	0.001721 	0.406409 	 0.000439 
0.412646 	0.060885 	0.012799 	0.038078 	0.002053 	0.412146 	 0.000508 
0.401777 	0.053400 	0.011787 	0.032825 	0.001769 	0.401352 	 0.000434 
0.409885 	0.054734 	0.011157 	0.036042 	0.001797 	0.409439 	 0.000447 
0.413097 	0.054900 	0.011529 	0.034376 	0.001738 	0.412643 	 0.000451 
0.412340 	0.058533 	0.012837 	0.035830 	0.002012 	0.411906 	 0.000434 
0.407215 	0.055945 	0.012001 	0.034554 	0.001801 	0.406767 	 0.000447 
0.413802 	0.055296 	0.011868 	0.034077 	0.001698 	0.413303 	 0.000494 
0.412321 	0.054614 	0.011404 	0.034187 	0.001759 	0.411850 	 0.000474 
0.408155 	0.053079 	0.011605 	0.034026 	0.001562 	0.407700 	 0.000465 
0.409724 	0.058026 	0.013213 	0.036146 	0.001790 	0.409265 	 0.000455 
0.408050 	0.056335 	0.012773 	0.033736 	0.001701 	0.407599 	 0.000454 
0.413400 	0.053746 	0.011914 	0.034097 	0.001573 	0.412959 	 0.000439 
0.406905 	0.057692 	0.011091 	0.037129 	0.001861 	0.406405 	 0.000508 
0.415203 	0.058258 	0.011726 	0.037105 	0.001924 	0.414698 	 0.000513 
0.407521 	0.057569 	0.013410 	0.034000 	0.001887 	0.407081 	 0.000429 
0.402668 	0.054945 	0.011756 	0.034455 	0.001738 	0.402213 	 0.000469 
0.399581 	0.058941 	0.012219 	0.037018 	0.001904 	0.399104 	 0.000486 
0.411259 	0.058734 	0.012845 	0.036049 	0.001992 	0.410780 	 0.000493 
0.419803 	0.057841 	0.011548 	0.036735 	0.001843 	0.419307 	 0.000477 
0.418350 	0.051886 	0.010375 	0.033230 	0.001639 	0.417872 	 0.000495 
0.407833 	0.055447 	0.011619 	0.036391 	0.001842 	0.407372 	 0.000474 
0.414347 	0.058852 	0.012194 	0.036754 	0.001896 	0.413835 	 0.000506 
0.399407 	0.066470 	0.015218 	0.039866 	0.002192 	0.398893 	 0.000523 
0.412055 	0.059933 	0.012988 	0.036908 	0.002034 	0.411572 	 0.000485 
0.414910 	0.058610 	0.013266 	0.034944 	0.001872 	0.414461 	 0.000447 
0.403760 	0.060352 	0.013755 	0.036600 	0.002019 	0.403327 	 0.000438 
0.417648 	0.059430 	0.013821 	0.035126 	0.001934 	0.417246 	 0.000396 
0.416399 	0.062705 	0.012961 	0.039228 	0.002090 	0.415873 	 0.000517 
0.408102 	0.059190 	0.013109 	0.035523 	0.001954 	0.407625 	 0.000486 
0.390632 	0.061353 	0.013782 	0.037342 	0.002132 	0.390152 	 0.000504 
0.411209 	0.055259 	0.011760 	0.034467 	0.001728 	0.410766 	 0.000454 
0.396383 	0.060866 	0.013266 	0.036717 	0.002203 	0.395917 	 0.000462 
0.404854 	0.062794 	0.013499 	0.037546 	0.002190 	0.404317 	 0.000528 
0.390936 	0.062352 	0.014096 	0.037174 	0.002202 	0.390449 	 0.000503 
0.389098 	0.060742 	0.013401 	0.037544 	0.002057 	0.388634 	 0.000481 
0.392682 	0.059435 	0.012160 	0.037847 	0.002077 	0.392200 	 0.000476 
0.392824 	0.061111 	0.013506 	0.036807 	0.002078 	0.392332 	 0.000490 
0.393922 	0.061530 	0.013332 	0.038868 	0.002238 	0.393427 	 0.000502 
0.395109 	0.064752 	0.014280 	0.039571 	0.002294 	0.394660 	 0.000460 
0.395517 	0.063020 	0.013837 	0.038757 	0.002276 	0.395019 	 0.000511 
0.407601 	0.065947 	0.014100 	0.040828 	0.002360 	0.407068 	 0.000522 
0.391257 	0.063530 	0.015156 	0.036864 	0.002198 	0.390786 	 0.000471 
0.399653 	0.060727 	0.014651 	0.035280 	0.002117 	0.399180 	 0.000462 
0.397938 	0.060424 	0.013072 	0.036754 	0.002056 	0.397435 	 0.000503 
0.397397 	0.062712 	0.013776 	0.038097 	0.002186 	0.396888 	 0.000493 
0.394092 	0.065015 	0.014537 	0.040930 	0.002324 	0.393595 	 0.000506 
0.402845 	0.064983 	0.014394 	0.039156 	0.002214 	0.402326 	 0.000515 
0.407091 	0.059325 	0.012695 	0.036390 	0.002058 	0.406612 	 0.000499 
0.394659 	0.058723 	0.013227 	0.035549 	0.001924 	0.394195 	 0.000458 
0.394240 	0.061058 	0.012992 	0.038509 	0.002146 	0.393737 	 0.000507 
0.398562 	0.059461 	0.013277 	0.036281 	0.002103 	0.398099 	 0.000463 
0.401643 	0.064516 	0.013434 	0.040166 	0.002314 	0.401096 	 0.000533 
0.399088 	0.061774 	0.014146 	0.036484 	0.002115 	0.398620 	 0.000478 
0.403697 	0.058537 	0.013473 	0.034735 	0.001982 	0.403251 	 0.000438 
0.400449 	0.062665 	0.014411 	0.037162 	0.002097 	0.399949 	 0.000490 
0.402905 	0.066659 	0.014099 	0.041332 	0.002345 	0.402369 	 0.000530 
0.395127 	0.064904 	0.014791 	0.038382 	0.002270 	0.394655 	 0.000477 
0.396287 	0.066246 	0.014700 	0.039914 	0.002382 	0.395761 	 0.000550 
0.390930 	0.065372 	0.014076 	0.039675 	0.002307 	0.390426 	 0.000500 
0.400841 	0.063959 	0.015090 	0.037556 	0.002301 	0.400369 	 0.000459 
0.400290 	0.064054 	0.014566 	0.038185 	0.002263 	0.399767 	 0.000525 
0.401598 	0.066032 	0.015013 	0.040750 	0.002282 	0.401095 	 0.000513 
0.392867 	0.066909 	0.014251 	0.041618 	0.002389 	0.392325 	 0.000561 
0.382771 	0.063505 	0.013651 	0.039046 	0.002202 	0.382253 	 0.000527 
0.406811 	0.064792 	0.014256 	0.039534 	0.002258 	0.406297 	 0.000518 
0.384565 	0.066886 	0.014773 	0.040890 	0.002350 	0.384037 	 0.000542 
0.402526 	0.061220 	0.012602 	0.037849 	0.002090 	0.402015 	 0.000518 
0.400646 	0.063865 	0.014329 	0.037323 	0.002245 	0.400138 	 0.000509 
0.385877 	0.060881 	0.015199 	0.034628 	0.002070 	0.385419 	 0.000461 
0.401125 	0.060946 	0.013598 	0.036209 	0.002072 	0.400640 	 0.000497 
0.388584 	0.064976 	0.014611 	0.038208 	0.002314 	0.388089 	 0.000495 
0.386965 	0.064745 	0.014698 	0.038400 	0.002228 	0.386439 	 0.000523 
0.391661 	0.065014 	0.014980 	0.036875 	0.002296 	0.391166 	 0.000493 
