di 	gli 	gal 	gos3 	 gos4 
0.459326 	-0.001517 	0.000934 	0.001081 	 0.002888 
0.454048 	0.000649 	0.002116 	0.001100 	 0.002804 
0.407906 	0.028135 	0.019292 	0.027431 	 0.005485 
0.417289 	0.023825 	0.016326 	0.027163 	 0.005448 
0.423344 	0.020542 	0.014361 	0.023834 	 0.005143 
0.403730 	0.031044 	0.021231 	0.030540 	 0.005846 
0.406517 	0.029817 	0.020414 	0.030070 	 0.005803 
0.432625 	0.014742 	0.010791 	0.018483 	 0.004610 
0.394137 	0.036817 	0.025373 	0.034377 	 0.006332 
0.388241 	0.040005 	0.027185 	0.035686 	 0.006407 
0.403234 	0.031172 	0.021630 	0.029491 	 0.005807 
0.388161 	0.039916 	0.026926 	0.037063 	 0.006522 
0.389989 	0.039285 	0.026808 	0.036305 	 0.006535 
0.403814 	0.031076 	0.021256 	0.029937 	 0.005769 
0.378367 	0.045579 	0.031001 	0.038138 	 0.006721 
0.394220 	0.036060 	0.025054 	0.032557 	 0.006204 
0.402776 	0.033092 	0.022587 	0.034396 	 0.006313 
0.421819 	0.020162 	0.014336 	0.023221 	 0.005147 
0.390423 	0.037677 	0.025731 	0.034863 	 0.006362 
0.380404 	0.045037 	0.030481 	0.039918 	 0.006879 
0.373502 	0.048405 	0.033029 	0.041631 	 0.007151 
0.364532 	0.053211 	0.035658 	0.042259 	 0.007004 
0.387242 	0.040174 	0.027354 	0.035016 	 0.006369 
0.374096 	0.047929 	0.032714 	0.040995 	 0.007117 
0.388232 	0.038867 	0.026906 	0.033883 	 0.006361 
0.379306 	0.046348 	0.031013 	0.043736 	 0.007253 
0.358330 	0.058758 	0.038609 	0.049248 	 0.007607 
0.372734 	0.049498 	0.032851 	0.043214 	 0.007062 
0.370594 	0.050086 	0.033070 	0.043686 	 0.007048 
0.363555 	0.054356 	0.036583 	0.044908 	 0.007400 
0.375615 	0.047299 	0.031982 	0.042817 	 0.007251 
0.352685 	0.060597 	0.040573 	0.051389 	 0.008112 
0.361445 	0.056519 	0.038036 	0.046718 	 0.007630 
0.368696 	0.051075 	0.034286 	0.043311 	 0.007220 
0.367979 	0.052168 	0.034722 	0.046388 	 0.007469 
0.378370 	0.045661 	0.030549 	0.041259 	 0.006962 
0.339651 	0.069199 	0.045687 	0.058442 	 0.008708 
0.344458 	0.065765 	0.043619 	0.054829 	 0.008350 
0.329147 	0.074767 	0.049460 	0.060735 	 0.008966 
0.340251 	0.067846 	0.044892 	0.056308 	 0.008497 
0.334661 	0.072201 	0.047485 	0.060602 	 0.008885 
0.312997 	0.084805 	0.055862 	0.069061 	 0.009809 
0.334097 	0.071392 	0.047254 	0.059729 	 0.008878 
0.309716 	0.085860 	0.056398 	0.068781 	 0.009716 
0.337859 	0.070103 	0.046331 	0.059055 	 0.008796 
0.332930 	0.072844 	0.048216 	0.061376 	 0.009097 
0.327870 	0.075227 	0.049856 	0.060178 	 0.008939 
0.319022 	0.080057 	0.053125 	0.064490 	 0.009452 
0.336611 	0.069922 	0.046463 	0.057307 	 0.008684 
0.328180 	0.075108 	0.049742 	0.058657 	 0.008769 
0.326169 	0.075334 	0.050122 	0.060942 	 0.009099 
0.315343 	0.082084 	0.054432 	0.065802 	 0.009598 
0.314370 	0.082962 	0.055040 	0.067709 	 0.009849 
0.318590 	0.079926 	0.053020 	0.063114 	 0.009277 
0.310478 	0.086176 	0.056819 	0.069312 	 0.009902 
0.313856 	0.082933 	0.055033 	0.065595 	 0.009577 
0.312495 	0.084230 	0.055730 	0.066241 	 0.009570 
0.333172 	0.071204 	0.047565 	0.058421 	 0.008892 
0.325415 	0.076606 	0.050846 	0.061331 	 0.009103 
0.301777 	0.090739 	0.060072 	0.070206 	 0.010019 
0.320465 	0.079304 	0.052713 	0.063715 	 0.009403 
