di 	gli 	gal 	gos3 	 gos4 
0.197204 	0.033939 	0.025787 	0.012553 	 -0.001037 
0.215019 	0.040048 	0.028711 	0.017734 	 0.000393 
0.244088 	0.035835 	0.025688 	0.024563 	 0.000193 
0.229317 	0.047927 	0.033483 	0.031414 	 0.000732 
0.233686 	0.043118 	0.033041 	0.027596 	 0.000749 
0.221686 	0.049997 	0.036342 	0.028469 	 0.001200 
0.283575 	0.044302 	0.029494 	0.031816 	 0.000759 
0.241421 	0.044079 	0.030906 	0.031722 	 0.000939 
0.228658 	0.062636 	0.042045 	0.044473 	 0.002095 
0.228687 	0.031302 	0.024361 	0.021016 	 -0.000142 
0.274076 	0.046524 	0.032987 	0.034523 	 0.002415 
0.204906 	0.054439 	0.039166 	0.032460 	 0.001642 
0.221713 	0.058255 	0.041635 	0.038210 	 0.002267 
0.233378 	0.051407 	0.036736 	0.035525 	 0.002602 
0.236528 	0.051683 	0.036492 	0.033109 	 0.002299 
0.232901 	0.052674 	0.037920 	0.034981 	 0.001832 
0.211972 	0.051073 	0.037681 	0.031412 	 0.001606 
0.211170 	0.055104 	0.039827 	0.036427 	 0.001723 
0.223494 	0.057163 	0.040440 	0.036186 	 0.001969 
0.212259 	0.055847 	0.039599 	0.032221 	 0.001966 
0.220742 	0.070391 	0.049171 	0.046605 	 0.003081 
0.208071 	0.054180 	0.040474 	0.028725 	 0.001672 
0.183958 	0.068951 	0.048899 	0.043760 	 0.002757 
0.225343 	0.056658 	0.041210 	0.035587 	 0.002500 
0.208564 	0.066073 	0.046044 	0.045599 	 0.002911 
0.213008 	0.064058 	0.044845 	0.041769 	 0.003015 
0.214307 	0.064442 	0.045037 	0.043367 	 0.003202 
0.179101 	0.064997 	0.047260 	0.038062 	 0.003187 
0.216038 	0.072248 	0.049968 	0.049910 	 0.003912 
0.175768 	0.054476 	0.040221 	0.028627 	 0.001492 
0.193796 	0.063874 	0.045227 	0.038587 	 0.003297 
0.199614 	0.063714 	0.046188 	0.037752 	 0.003192 
0.206424 	0.056692 	0.042086 	0.034126 	 0.002781 
0.228635 	0.049028 	0.035330 	0.032422 	 0.002207 
0.210053 	0.051682 	0.036677 	0.033083 	 0.002364 
0.215030 	0.063696 	0.045418 	0.038248 	 0.002536 
0.209563 	0.055614 	0.040342 	0.032286 	 0.002151 
0.215322 	0.066648 	0.047274 	0.042980 	 0.003137 
0.211259 	0.058949 	0.042142 	0.036982 	 0.002771 
0.205612 	0.065672 	0.046427 	0.044098 	 0.003396 
0.192066 	0.079937 	0.055001 	0.051827 	 0.004059 
0.227474 	0.047213 	0.034699 	0.032086 	 0.001904 
0.173877 	0.065655 	0.047410 	0.035922 	 0.002419 
0.240572 	0.051036 	0.037507 	0.031859 	 0.002615 
0.220103 	0.059171 	0.042538 	0.038674 	 0.002651 
0.198500 	0.070161 	0.049546 	0.041634 	 0.003332 
0.196046 	0.080833 	0.056014 	0.049408 	 0.003451 
0.185524 	0.081019 	0.055855 	0.052395 	 0.004328 
0.193292 	0.052613 	0.039831 	0.027301 	 0.001702 
0.166140 	0.056752 	0.042613 	0.031037 	 0.001911 
0.179795 	0.077310 	0.054353 	0.045896 	 0.003454 
0.198560 	0.074266 	0.051928 	0.045932 	 0.003355 
0.197081 	0.073678 	0.051679 	0.041496 	 0.002905 
0.202529 	0.066228 	0.047058 	0.037309 	 0.002384 
0.193400 	0.071748 	0.050406 	0.044850 	 0.003544 
0.199485 	0.062591 	0.044760 	0.035824 	 0.001949 
0.186589 	0.070733 	0.049622 	0.042547 	 0.002374 
0.188376 	0.059412 	0.043041 	0.034746 	 0.002436 
0.168099 	0.062390 	0.045265 	0.034512 	 0.001130 
0.190572 	0.084662 	0.057124 	0.056298 	 0.004028 
0.180965 	0.073250 	0.049919 	0.047953 	 0.002558 
0.202267 	0.064081 	0.045071 	0.039559 	 0.002953 
0.167100 	0.068407 	0.048946 	0.037918 	 0.002215 
0.172160 	0.069643 	0.049236 	0.040212 	 0.002797 
